No.,Image,Url,Description
1,,https://i.pinimg.com/236x/54/54/53/54545363c2ef1eea765dd4660b132138.jpg,
2,,http://www.savourydays.com/wp-content/uploads/2022/03/6-1024x576.jpg,
3,,http://www.savourydays.com/wp-content/uploads/2018/03/IMG_0622-1-1024x722.jpg,
4,,https://i.pinimg.com/474x/cf/72/49/cf7249d10a0a05dbd81cb08fbafd5626.jpg,
5,,https://assets.tmecosys.com/image/upload/t_web667x528/img/recipe/ras/Assets/67137e05e649b81c51aacc3f12242be7/Derivates/157b8951613e3f07b055a176fe6438a50fea5fa6.jpg,
6,,https://i.pinimg.com/474x/2e/ac/1e/2eac1e0919452e379fee5df88f250f6f.jpg,
7,,https://i0.wp.com/mmbonappetit.com/wp-content/uploads/2022/03/Banh-duc-nong-1.jpg?resize=750%2C938&ssl=1,
8,,https://i0.wp.com/mmbonappetit.com/wp-content/uploads/2021/03/IMG_7144-1-scaled.jpg?resize=800%2C530&ssl=1,
9,,https://img-global.cpcdn.com/recipes/d1c65809ba72babf/680x482cq70/banh-duc-nong-recipe-main-photo.webp,
10,,https://img-global.cpcdn.com/recipes/46ca477ebb68067b/680x482cq70/banh-duc-th%E1%BB%8Bt-ga-chay-recipe-main-photo.webp,
11,,https://vietnamesefood.com.vn/kcfinder/upload/images/Vietnamese%20Salted%20Rice%20Flour%20Cake%20Recipe%20(B%C3%A1nh%20%C4%90%C3%BAc%20M%E1%BA%B7n)%208.jpg,
12,,https://i.pinimg.com/236x/5f/51/fc/5f51fcb6a566c381f859c2381f58426f.jpg,
13,,https://i.pinimg.com/236x/f8/88/80/f88880703ca026e6d2c94be9c37971f8.jpg,
14,,https://i.pinimg.com/564x/e0/fa/14/e0fa14dff06c8880e998e54af3e5f65b.jpg,
15,,https://i.pinimg.com/474x/0d/17/db/0d17db1c241ddd494d0ab6ce669cb41c.jpg,
16,,https://i.pinimg.com/236x/85/ec/d0/85ecd0c6915f8d4e850265d0d9d42ad9.jpg,
17,,https://i.pinimg.com/236x/36/6a/61/366a6164963dfd1cc43ea3ffbd3ce372.jpg,
18,,https://i.pinimg.com/236x/56/1b/e4/561be4338740254f009a4acba0cb64ce.jpg,
19,,https://i.pinimg.com/236x/45/3a/62/453a6208e82f0d2648d124384068a2f6.jpg,
20,,https://i.pinimg.com/474x/70/bf/f6/70bff6067af2d2a099d8a6bfa177ca75.jpg,
21,,https://i.pinimg.com/236x/46/ce/c7/46cec7b759d3e5d71f1294d58f764522.jpg,
22,,https://i.pinimg.com/236x/45/f0/b7/45f0b7df7b41ef74caa78286a1ba4135.jpg,
23,,https://i.pinimg.com/474x/d1/a1/35/d1a13529567ed0b67845b32a3f370545.jpg,
24,,https://i.pinimg.com/474x/69/c2/e5/69c2e5f8cb50ce6046290525b74a803c.jpg,
25,,https://i.pinimg.com/236x/d5/77/dc/d577dcb017c23df26c26223438d5d574.jpg,
26,,https://yelohtx.com/wp-content/uploads/2023/04/What-is-banh-duc-819x1024.jpg,
27,,https://i.pinimg.com/474x/30/0e/14/300e149c9b79937ee3fa82e73393693a.jpg,
28,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlnUC_xyG5rEyRQPFS16MSOdKU0tHbhiyK2w&s,
29,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8GuTEQVPSc-cD_wefMH2xqjeNjGtebuHLkA&s,
30,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQXEZJfDKZAN5DFCwhjZaLq_v-0CGEZaMuwg&s,
31,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2w9ezXRC5CsRP-0SCBNUdfwXwGy12DcQjhg&s,
32,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT961JGus1d8SF7v-d-PbYzGSf1clxk590ilw&s,
33,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJ1IXV8LvreiXaXHMlIc9G0DgppyW4-_C-tw&s,
34,,https://i.pinimg.com/564x/fe/f7/28/fef7282ddef155abdfcb937e71bac65f.jpg,
35,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSI4PAwsh6BUzsnNOd7bEWSU4VCGiyYP1ER8HgdN2EUSSGGUTtvkJmtEy4ILmEG274yaQQ&usqp=CAU,
36,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3JCRWyq2EwiX8gQaN2VnTzYp91MT8LGrBAg&s,
37,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlSSxJe4bHKBw_m_lPF2a50n58TNkXfUq4vQ&s,
38,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6TBJ36W-FzkpBfhC2RlMms_9kstf03BBewQ&s,
39,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9U0A5ApiPL0aAO99A-C_aAwcJ3yq9nc6sIw&s,
40,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJLvTe-asg4hwDOcbZnOhA3dpQ5Fsp6Ae53Otv9nugdPdhBgVdrF1zrcuGZH__3BxIkoY&usqp=CAU,
41,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnihJn29Ifa4P2LFKXXBSxd7cHe375Aj0Dcg&s,
42,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEhGMm2OMIU1kZrPvfmEmHJ99L63RDNU-j0g&s,
43,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2azjoxImy--ucai3gTVGabkSFePg9Qavcug&s,
44,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQuyHjqx2dOKQ1Xfn9cJbASakXPld90la1nSw&s,
45,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNFUhXWg8n1GziNfAeBD4JO2CaHVDBvQtn9w&s,
46,,https://yelohtx.com/wp-content/uploads/2023/04/Common-mistakes-to-avoid-820x1024.jpg,
47,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwzsHXzZ9SOUg7aIqk89w9H0aOzq_U770img&s,
48,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ95K-jIAt0eK_KnOfuDnkItBZDEigXDNvByg&s,
49,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRq19P4H4aZBr2n9qBhOQvu6h07Au6KIMJCg&s,
50,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrcBHDAS-wfAgtHc6q-ihKCi3u2l45Uh1aIQ&s,
51,,https://cdn.eva.vn/upload/3-2021/images/2021-09-29/1632925371-banh-20duc-20viet-2090.jpg,
52,,https://danviet.mediacdn.vn/296231569849192448/2021/10/26/24367450742829171184929374975240897710487438n-1635212065476815460240.jpg,
53,,https://danviet.mediacdn.vn/296231569849192448/2021/10/26/24347980942829179618261862356682852330947809n-1635212155436832256305.jpg,
54,,https://danviet.mediacdn.vn/296231569849192448/2021/10/26/24463585642829173384929154242216905666909194n-16352122735332123967073.jpg,
55,,https://i.ytimg.com/vi/aMYtB31cc9w/maxresdefault.jpg,
56,,https://i.pinimg.com/474x/30/02/0b/30020bc9807cb5fbca041e24547414c2.jpg,
57,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSYmADNAgMmm0S-3PQVdPRpCYJA5aU9GVC2w&s,
58,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUmeW2HUb2oXGpxjRrwBYfvhVhV08CcM7a_onZh4vju4DVT99N9V9wYpYcU97Xfu4QUmM&usqp=CAU,
59,,https://i.ytimg.com/vi/A_1BRMvgAI0/maxresdefault.jpg,
60,,https://i.ytimg.com/vi/9D3KIAKoZbY/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLB7EcVuIZanowvRjXKZLClOiC3dzg,
61,,https://daylambanh.edu.vn/wp-content/uploads/2019/08/banh-duc-la-dua-giai-nhiet.jpg,
62,,https://i0.wp.com/yeuamthuc.org/wp-content/uploads/2023/09/cach-lam-banh-duc-nong-tu-bot-nang-cua-nguoi-mien-nam-aafd72c8.jpg?fit=749%2C624&ssl=1,
63,,https://i.pinimg.com/474x/c7/73/56/c77356dbb3da01ead41c596686da3bd0.jpg,
64,,https://i-giadinh.vnecdn.net/2021/09/04/nh3-1630735650-6707-1630735743.jpg,
65,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ61qd1DpzR54pCE7_HFey7zPQFaWOJOzyLJQ&s,
66,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1QzqZXaRTS3fkIpcou49sO45syJVuyWzMww&s,
67,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIBkrmWoLtWZUmDEsUaAqejVcvFMITs7gJFQ&s,
68,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3Tbl8l5ci6kQKNpEnsnCa4oH6NpqrHn1x_A&s,
69,,https://www.bepthucduong.com/wp-content/uploads/2023/01/banh-duc-nong-chay-thuc-duong.webp,
70,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQA4Mw53Eo-NUEJVpyqZKTZRRbopDCs5Ug2F23hyHLDolOlVS1rKIidEQRC5VUYOIxiZo&usqp=CAU,
