No.,Image,Url,Description
1,,https://cdn.tgdd.vn/Files/2021/06/24/1363002/huong-dan-cach-lam-banh-khuc-nong-truyen-thong-chuan-cong-thuc-202201182329345130.jpg,"Bánh khúc là đặc sản vô cùng thơm ngon, mang nét đặc trưng của vùng đồng bằng Bắc Bộ."
2,,https://media-cdn-v2.laodong.vn/storage/newsportal/2022/2/17/1015024/Banh-Khuc-01.jpg,
3,,https://static.kinhtedothi.vn/images/upload//2023/08/02/banh1.jpg,
4,,https://cdn.tgdd.vn/Files/2021/06/24/1362999/banh-khuc-dac-san-o-dau-dac-diem-cua-banh-khuc-la-gi-202201151428213410.jpg,
5,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQA6pmauNbhHZ9f09ok2v9gEZZn3jWOyqW_IA&s,
6,,https://daylambanh.edu.vn/wp-content/uploads/2017/09/banh-khuc-deo-thom-bui.jpg,
7,,https://photo-cms-vovworld.zadn.vn/w500/Uploaded/vovworld/ujwyqdxwp/2016_06_27/1%20banh%20khuc.jpg,
8,,https://cafefcdn.com/203337114487263232/2022/10/25/photo-2-166666135649028734208.jpg,
9,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9sM_1donCDQME4Wzw4khV2W5v1JchI5bC3Q&s,
10,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ--n68IuxWvwzmvcYKPzg5yrn-ArWhGFAOhw&s,
11,,https://cdn.tgdd.vn/2021/02/CookRecipe/GalleryStep/thanh-pham-643.jpg,
12,,https://www.banhdanemlangcheu.com.vn/images/-0-0-banhkhuc2.jpg,
13,,https://bizweb.dktcdn.net/100/004/714/articles/cach-lam-banh-khuc.jpg?v=1587548445497,
14,,https://checkinvietnam.vtc.vn/media/20220116/images/banh-khuc-phien-ban-banh-chung-minisize-don-tet-ddv_50w.png,
15,,https://uploads.nguoidothi.net.vn/content/c60ee24b-d593-4b54-a409-4a42d5a121df.jpg,
16,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSimIt5OQ2P_ORIfj3ziK_PWcjcZIaGJdy2cw&s,
17,,https://static.vinwonders.com/production/xoi-khuc-ha-noi-6.jpg,
18,,https://cafebiz.cafebizcdn.vn/162123310254002176/2022/1/14/photo-5-1642145054234198952066.jpg,
19,,https://cdn.tgdd.vn/2020/08/CookProduct/1260-1200x676-2.jpg,
20,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkk3WIqNIHwDNfnzyiYViIZJSUfkmNi9O03Q&s,
21,,https://cdn.eva.vn/upload/3-2023/images/2023-07-21/3-cach-lam-banh-khuc-ngon-don-gian-chuan-vi-ha-noi-18-1689924991-63-width594height392.jpg,
22,,https://danviet.mediacdn.vn/296231569849192448/2021/8/14/base64-1628878045748665771292.png,
23,,https://vietair.com.vn/Media/Images/vietair/Tin-tuc/2023/4/banh-khuc.jpg?w=1200&h=630&c=true,
24,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnONkUjdMrfN3-XLuqRACGoTKyD7v7BbrgkA&s,
25,,https://image.bnews.vn/MediaUpload/Org/2017/05/23/080831_banh-khuc.jpg,
26,,https://mocxichan.com/wp-content/uploads/2020/05/A8DCA571-AB1A-489E-AD78-1B0EF86E0A96-1024x1024.jpeg,
27,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLxAX0bifbtPCcpE5_z1WiW5b_VsN8oTh7aw&s,
28,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjHK8NzBejvFJLm9EycwKgywctbYQLY143Vg&s,
29,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjxu6IQdbOIY5inPXiEJ1W4Xy2W0UBsickGg&s,
30,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-JoMZQ3JTa0WLh-AlvEOVko0RZUYVVIPiIA&s,
31,,https://danviet.mediacdn.vn/296231569849192448/2022/2/23/banh-khuc-1645535385-1645560135814-16455601359381693293243.jpg,
32,,https://media.baoquangninh.vn/dataimages/201204/original/images631014_image0012.jpg,
33,,https://i.ytimg.com/vi/LKdEirSQbAA/maxresdefault.jpg,
34,,https://cafefcdn.com/2019/3/2/photo-1-1551492015941839748606.jpg,
35,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREmX04CMUNiGoHELylbZmQT9nC5g-e2woEhw&s,
36,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_8UCR08K8v2O6_NQqBazVbowY8VpX3V5NAA&s,
37,,https://i.ytimg.com/vi/h7vJ5ESVAxM/maxresdefault.jpg,
38,,https://dacsanbac.com.vn/wp-content/uploads/2023/03/kiotviet_af06ad01f00ab66d8d55eb55f016da3f.jpeg,
39,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTe3RgjUlnHW4vHpZp5dJ1ODOdxH_7iH1E3cA&s,
40,,https://cdn.nhathuoclongchau.com.vn/unsafe/800x0/filters:quality(95)/https://cms-prod.s3-sgn09.fptcloud.com/huong_dan_ban_cach_lam_banh_khuc_gao_lut_thom_deo_nong_hoi_an_hoai_khong_chan_1_61ae4120f4.jpeg,
41,,https://img-global.cpcdn.com/recipes/630573b7d98e8514/680x482cq70/xoi-khuc-banh-khuc-hay-xoi-cuc-recipe-main-photo.jpg,
42,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2sg8kZO7zgL3Qa0bL3eHcJ8h8RlQvvoZS0w&s,
43,,https://thannong.net/images/blog/2023/110310.jpg,
44,,https://thegioihatdinhduong.com/Images/image/B%C3%A1nh%20kh%C3%BAc%201.jpg,
45,,https://danviet.mediacdn.vn/296231569849192448/2021/8/14/base64-16288780362592011176267.png,
46,,https://phfood.vn/wp-content/uploads/2022/06/banh-khuc-la-cam-viet-tri-10-cai-5.jpg,
47,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXO3VcQFkz8dXRY97NCbMfNy3Pey-nd2d8_A&s,
48,,https://media-cdn-v2.laodong.vn/storage/newsportal/Uploaded/ctvkhampha/2017_05_26/IMG_0285_FYOR.JPG,
49,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqi2G45E8-RoD6dZtnN9Vq_GW7YVXQXKTG3w&s,
50,,https://afamilycdn.com/Qalypm8xccccccccccccW2vZ1VroR/Image/2011/12/111229afamily-AN-banh-khuc-xoi-khuc-xoi-cuc-23_34fd4.jpg,
51,,https://product.hstatic.net/1000221193/product/14aa6c81-6763-462c-95d8-68ccd0a9d869_896bb0aa60b34d47aafba531d9a86960_master.jpg,
52,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQceLlZeL4DAuYJhcHLUQyreM5aBrIFHuGGHQ&s,
53,,https://giadinh.mediacdn.vn/296230595582509056/2023/11/30/4-1701333081417225886135.jpg,
54,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROVueGCsTSH19BpfQ6_Y5W3xdlPPnCQEDwVw&s,
55,,https://banhbaominh.com/wp-content/uploads/2023/10/banh-khuc-huong-vi-tuoi-tho-tren-nhung-ganh-hang-rong-banh-khuc4-400x186.png,
56,,https://image.sggp.org.vn/w570/Uploaded/2019/bsugpivp/2019_01_20/sggpxoi_qkmz.jpg,
57,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXLNiE_PfXV0pLox9j2yQGWM0jUacVyupj_Q&s,
58,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9SpyJOCSk3SR41POk_iAW9ir9SVvAckoI3Q&s,
59,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRMkphmexBKNWMI2uYRUxt29fVONP28PRbhQ&s,
60,,https://media.baothaibinh.com.vn/upload/news/2_2011/4381_banhkhuc.jpg,
61,,https://flt.com.vn/wp-content/uploads/2021/02/banh-khuc-lang-diem-mon-an-nuc-tieng-cua-vung-dat-bac-ninh-am-thuc-bac-ninh.jpg,
