No.,Image,Url,Description
1,,https://banhmibahuynh.vn/wp-content/uploads/2022/11/Banh-mi-Ba-Huynh-o-moi-1.webp,
2,,https://kenh14cdn.com/zoom/640_360/2018/11/11/ava-15419262596711379313851-crop-1541926270280864172347.jpg,
3,,https://static.vinwonders.com/production/banh-mi-sai-gon-2.jpg,
4,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVMQOPLBZiVFxVHX1ifD7GAA7dSMbWZRTdcQ&s,
5,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJcZIhytfbAZP3H7MX4LOuRxNTnEL7l-BUeQ&s,
6,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCwmc1WF-ADzotp0eDuWAUSaDprCW8WhL0Cg&s,
7,,https://cdn.tuoitre.vn/zoom/700_525/471584752817336320/2023/2/20/viet-populaire-copy-e1659353432539-1024x681-16594235658881650374369-1676888750526893807756-41-0-423-730-crop-16768887676751617090180.jpg,
8,,https://cdn-i.vtcnews.vn/resize/th/upload/2024/03/29/banh-mi-viet-nam-lot-top-bao-nhieu-vtcnews-12081946.jpg,
9,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSlsCJK_mNZRmV_zfkEJFGx5c6ITf91JdvXg&s,
10,,https://media-cdn-v2.laodong.vn/storage/newsportal/2024/5/31/1346983/Banh-Mi-8.jpg,
11,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVCg3yP6ZZXACKU29OmRG_p9rj15fphxtVJw&s,
12,,https://www.huongnghiepaau.com/wp-content/uploads/2019/08/banh-mi-kep-thit-nuong-thom-phuc.jpg,
13,,https://toquoc.mediacdn.vn/280518851207290880/2023/9/12/banhmi-16945047945811495140150.png,
14,,https://www.bigc.vn/files/cam-nang-mua-sam-27-11-2023-14-35-21/vao-bep-cung-go-27-11-2023-14-39-10/cach-lam-banh-mi-thit-nuong.jpg,
15,,https://daotaobeptruong.vn/wp-content/uploads/2021/01/banh-mi-viet-nam.jpg,
16,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW27cUe7UXEVDtzQ73JjGhbJqarxmp8zo2sw&s,
17,,https://suckhoedoisong.qltns.mediacdn.vn/324455921873985536/2023/9/15/ngo-doc-banh-my2-1694768198642908028514.jpg,
18,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrr4nOxyZYCSt2LE_A9-8jKs1G6pPzJ-LCpw&s,
19,,https://diemdungchandongthap.com/wp-content/uploads/2021/06/banh-my.jpg,
20,,https://www.huongnghiepaau.com/wp-content/uploads/2019/03/banh-mi-viet-1.jpg,
21,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIpn8FpDXiZxyffGtOh6dGQT9OkBVhbwrbow&s,
22,,https://file1.dangcongsan.vn/data/0/images/2023/04/24/upload_2676/273602471-1305883553246089-3196406909311714067-n.jpg,
23,,https://image.nhandan.vn/w800/Uploaded/2024/igpcvcvjntc8510/2023_04_02/copy-of-banh-mi-phuong-3-1656737659-4047.png.webp,
24,,https://daylambanh.edu.vn/wp-content/uploads/2017/07/cach-lam-banh-mi-que-phap.jpg,
25,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThcRhouSAj8ESvp3Oq1ypI1LLWZlHzhKhtcQ&s,
26,,https://mms.img.susercontent.com/vn-11134513-7r98o-lsv7jl8ilrix5f@resize_ss1242x600!@crop_w1242_h600_cT,
27,,https://product.hstatic.net/200000411281/product/banh_mi_pate_1cdb6f91cb74430fb2fd874d3a756f96_master.jpg,
28,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-DDLMhHwIG3QkcyFyQE3qGJ7bRscryBnZ3w&s,
29,,https://www.andy-cooks.com/cdn/shop/articles/20230813061131-andy-20cooks-20-20roast-20pork-20banh-20mi.jpg?v=1691997210,
30,,https://i.ytimg.com/vi/jo6LYm3Ly7M/maxresdefault.jpg,
31,,https://cdn.tuoitre.vn/thumb_w/480/471584752817336320/2024/4/6/banh-mi-truyen-thong-cua-trang--17123815613201781024648.jpeg,
32,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3AUmDxWdBVauKXvHXZEv4Zsd9mbanHt2C2Q&s,
33,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4HdV5cVM6ETSEJbswc1AX1gH-EYkCD957dA&s,
34,,https://gcs.tripi.vn/public-tripi/tripi-feed/img/476150Rlo/anh-mo-ta.png,
35,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwwps3AeOsdF2tsSKuj7z9wg2uHOMyjF7p0w&s,
36,,https://monngonmoingay.com/wp-content/uploads/2021/07/banh-mi-kep-ca-chien-xu-880.webp,
37,,https://sohanews.sohacdn.com/160588918557773824/2024/3/13/banh-my-1-14205828-1710319723833-17103197239102087316246.jpg,
38,,https://cdn2.fptshop.com.vn/unsafe/1920x0/filters:quality(100)/2024_1_17_638411300614152540_banh-mi-pate.jpg,
39,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSu-IxT4H6WJ2Ly1yWOo2AXHhB0kusPAKBEwg&s,
40,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT23sifGMr5DjOaGPAY6lcsry7ZLHHcjy7cnA&s,
41,,https://daylambanh.edu.vn/wp-content/uploads/2019/06/cach-lam-banh-mi-pate.jpg,
42,,https://img-global.cpcdn.com/recipes/01914f4be6cc4786/1200x630cq70/photo.jpg,
43,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJ5t-qChm5BWFvGooDh1cWawNUFJyuP1N-Dg&s,
44,,https://media-cdn-v2.laodong.vn/storage/newsportal/2024/5/31/1346983/Banh-Mi-.jpg,
45,,https://qltt.vn/stores/news_dataimages/hanhnth3/032024/14/09/2814_CopyofCopyofBrownPaperPeopleBlogsYoutubeOutro1.png?rt=20240314092815,
46,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0XqhqYM8F-3bXs1NMB3yCWFX8q7LU9UXBBQ&s,
47,,https://cdn.tasteatlas.com/images/dishes/9641282115b84bcf89efe71406c36c1c.jpg?mw=900,
48,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzyo6qPX-WKPwu29QPuVLVKWT1Ja6eSFhvwA&s,
49,,https://file1.dangcongsan.vn/data/0/images/2023/03/09/upload_2694/banh-mi-2403202-5.jpg,
50,,https://anhquanbakery.com/uploads/product/full_q1iryasp-1271-banh-mi-cha-bong-dam-bong.jpg,
51,,https://product.hstatic.net/200000411281/product/banh_mi_xa_xiu_846b2744475043daaf3ee175f58cc826_master.jpg,
52,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHufYH-_YGBOwenpSM3CExGh8C9CizHIODdQ&s,
53,,https://danviet.mediacdn.vn/296231569849192448/2024/5/16/picture-608071709-1715565726-270-width602height470-1715823145804-1715823146110370715510.png,
54,,https://bizweb.dktcdn.net/thumb/1024x1024/100/487/455/products/banh-mi-que-pate-highlands-coffee-1698981843611.jpg?v=1698981849900,
55,,https://banhmibaduoc.vn/wp-content/uploads/2023/12/MO_9493-scaled.jpg,
56,,https://vcdn1-dulich.vnecdn.net/2024/03/16/728875678c8720d97996-jpeg-1710-5952-6994-1710578323.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=PBtJLiDm0ShPwd1xgxlnDQ,
57,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSslHniayZoIWjgjjFK_BuLF0Z2z74QuxumvQ&s,
58,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqGk_lT4zjbXjHvc4yjpkmlct4bO_pFNzAYw&s,
59,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzZ36xc7_-FmcJmxZE-5siBgK3J1vZTbuEVw&s,
60,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTp3ZqgRtkADQbn8fUzlPObmUtUhcgVfYsGiA&s,
61,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQseo5YUCWmXMmVEtbcJNJzcOXRpPcQFtqaKQ&s,
62,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUKFOovmaAPxXv-Gw0NbnoQjXf4jBVOczU9w&s,
63,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRW1NHVDy2Dw1lQzmp-2ooSevbJp8CIEGSf7A&s,
64,,https://banhmimahai.vn/wp-content/uploads/2021/12/trung-2-1.jpg,
65,,"https://images.immediate.co.uk/production/volatile/sites/30/2023/01/Bahn-Mi-7aaba5a.jpg?quality=90&resize=556,505",
66,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuIjvjJYujluw5KtSAUVy7_3ZJ29YFEgC6IQ&s,
67,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRF5PSGMtAkyLl2ajFmyGlab8EDJBZvMG3hPw&s,
68,,https://i.pinimg.com/474x/22/a1/55/22a155dbc71897dab5b766dcce874973.jpg,
69,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnnybRKGAcJjwUOHFhfYiFDHW1HIY8Lr_NrA&s,
70,,https://thanhnien.mediacdn.vn/Uploaded/maiha/2022_11_08/3b-banh-mi-hong-hoa-anh-vu-phuong-9630-6605.jpg,
71,,https://assets.grab.com/wp-content/uploads/sites/11/2019/09/26044050/photo1-3.jpg,
72,,https://bmyc.vn/wp-content/uploads/2024/03/Noi-ve-banh-mi-kep-thit.jpg,
73,,https://toquoc.mediacdn.vn/280518851207290880/2024/5/15/-17157672540751883702044.jpg,
74,,https://cdn.tgdd.vn/2020/10/CookProduct/0.-1200x674.jpg,
