No.,Image,Url,Description
1,,https://www.huongnghiepaau.com/wp-content/uploads/2019/10/banh-tom-ho-tay-hap-dan.jpg,
2,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlUBMrd_rhst1biZPdJGpoamt84olNhlnNJw&s,
3,,https://anvatmesua.vn/wp-content/uploads/2022/07/1-30.jpg,
4,,https://d3hr4eej8cfgwy.cloudfront.net/v2/2000x2000/finan-prd/a85da704-7588-45fb-8387-9a88c2cb8674/image/1b876fd9-5e7f-4661-8c62-2c8edda6bb62.jpg,
5,,https://dulichviet.com.vn/images/bandidau/banh-tom-ho-tay-mon-dac-san-cua-ha-noi-ai-cung-yeu-thich.jpg,
6,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZZhdcvrLbRjQOe3R8JmkwYsKWc9_147UV_w&s,
7,,https://cdn.tgdd.vn/2021/08/CookProduct/1200-1200x676-4.jpg,
8,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIxsO1eG53K9Zcq7y1A7E4PLpupMfpOTx1cQ&s,
9,,https://cdn.tgdd.vn/Files/2021/01/07/1318512/cach-lam-banh-tom-chien-khong-can-khuon-de-2-tieng-van-gion-rum-khong-bi-yeu-202203171306069229.jpg,
10,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3JuAx6GHH3GBd2f8Kew-t6Trh1yIMFQj0PA&s,
11,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQb-leYi3wVbjHVBZ0Sb2BxG1LfOsh3q6mD7Q&s,
12,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRZrKLkLj_xhmw4FOVmzEWE0wuCTK7XdY-vw&s,
13,,https://static.vinwonders.com/production/banh-tom-ho-tay-2.jpg,
14,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0Qupamp3y35dymQT6JD84-htxhlVXb20wEA&s,
15,,https://daylambanh.edu.vn/wp-content/uploads/2018/12/banh-tom-ho-tay-600x400.jpg,
16,,https://i.ytimg.com/vi/rLf8ESczsdc/maxresdefault.jpg,
17,,https://amthucngon.net/userfiles/banh%20tom2.jpg,
18,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYCLjKlUVCbNJHO0xr2QswM7uAOYc_1VHoxw&s,
19,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkNbaoXiUaAEuvK_X9VKiIiV1Rxpe8MIv7eA&s,
20,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQt2ac05vKJZ_k9B4vzXaKTD5wz7rR40baRlw&s,
21,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPPvQJM7qcCJJE3NXd7UYy0zWGI18zAvMk_w&s,
22,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSd1T1ZSxRpidg9RcfA2yojVyjYenCxPCpZUw&s,
23,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTts4ce8NPl9dP_NAR7Sn2vUl95OkWVEnUrMw&s,
24,,https://bizweb.dktcdn.net/100/450/146/products/mg-4739.jpg?v=1676945050893,
25,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_IjeY42xvaf45zJdeS_Odfi0FW98uW9KWFQ&s,
26,,https://wiki-travel.com.vn/Uploads/picture/camnhi-210415080454-banh-tom-ho-tay-4.jpg,
27,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThC1j3HosK9QbT7R20MYD027OgXY9ELMaIHA&s,
28,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmnX-C4KKOUhz0iBw7547xDkUItiCFVaeknw&s,
29,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThipXhMInMtDpMFgMKIhFteuitvKkIvlNJFA&s,
30,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrs9CmF-tTYsAhWUbuL2-jtavVsWS-Eepasg&s,
31,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT977E28mvPdkf2QlliHZ95zj-BRks7n3twCw&s,
