No.,Image,Url,Description
1,,https://i.pinimg.com/474x/0b/53/9c/0b539c666cfbbeab94891b90ed8b6020.jpg,
2,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkeXfVQ_AZR2pxxAISWKbWd3GUiIi2FOj3zw&s,
3,,https://i-giadinh.vnecdn.net/2022/04/02/Buoc-6-6-5323-1648900132.jpg,
4,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZhV8OZHMuKKJHrWRjfQiIOkklpmm8QiI-4A&s,
5,,https://cdn.tgdd.vn/2020/10/CookProduct/Cachlambanhtroinuocnhanduongphentruyenthongthomngondelam-1200x676.jpg,
6,,https://static-images.vnncdn.net/files/publish/2023/4/21/banhchay-480.jpeg,
7,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsB3rDPmcXn6QRw-B7DzxJtIPGBai16ABeVg&s,
8,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS78JIBUEfzCM6QIbtm0nQz9zfwLDD8NWj9UQ&s,
9,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPwR9zu7VWuSI2Jpd_ImnVd6ppegxBvm0frg&s,
10,,https://haysiri.com/upload/files/2023/04/cong-thuc-lam-banh-troijpg1682111138.jpg,
11,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQh6xs0eMvvvo_o4GheM3bqbvWB3vH62dTPgw&s,
12,,https://i.pinimg.com/474x/1d/47/b8/1d47b8bcc8e511f1efc1eebc28734a30.jpg,
13,,https://cdn.tgdd.vn/2021/11/CookRecipe/Avatar/banh-troi-tau-nhan-vung-den-sui-din-thumbnail.jpg,
14,,https://i.pinimg.com/474x/3b/7b/f9/3b7bf99c5056c378c4fc1e5c235294c3.jpg,
15,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlSJbZIjOUX7K8awGGNCnI1AVWVCspMQhofQ&s,
16,,https://i.pinimg.com/474x/69/8e/52/698e522fe4a61fa678f98809bd579234.jpg,
17,,https://www.vietnamonline.com/media/cache/9a/8e/9a8e987c44b4fbccd162edbe43619324.jpg,
18,,https://i.pinimg.com/474x/e1/1d/25/e11d25c1e81ee70073c2cbaf9403ab16.jpg,
19,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiT4FMVo5sR0RQi6LDtSiQgajtin7GFXtu6Q&s,
20,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSf6tn9yeX1ECEm_0XKWpC5m0EuddU3OMyYem_m7vIVQxl7cs0iT38CGO3y1ld-hZI5IoM&usqp=CAU,
21,,https://ttol.vietnamnetjsc.vn/images/2023/02/20/11/23/banh-troi-ngu-sac-1.jpg,
