No.,Image,Url,Description
1,,https://i.pinimg.com/474x/f1/13/66/f11366925ead8740dac733b2a0b1912c.jpg,"Nguyên liệu

Thịt
• 250 g Beef tenderloin, steak thick
Nguyên liệu
• 1/4 Apple, green
• 4 cups Bean sprouts
• 2 Carrots
• 2 tsp Garlic
• 4 Garlic clove
• 8 Shiitake mushrooms, dried
• 1 bunch Spinach
• 2 Zucchini

Ướp lạnh
• 4 Eggs

Gia vị
• 1/4 tsp Fish sauce
• 4 tbsp Gochujang paste
• 1 tbsp Honey
• 2 tbsp Mirin
• 2 tbsp Soy sauce

Ngũ cốc
• 4 cups White rice, cooked

Bột nướng & gia vị
• 1/2 tsp Salt
• 2 tsp Sesame seeds
• 3 1/4 tsp White sugar

Dầu và giấm
• 2 tbsp Rice vinegar
• 4 1/2 tsp Sesame oil
• 1 Sesame oil
• 8 tsp Vegetable oil"
2,,https://i.pinimg.com/474x/68/45/09/6845091d291f44a1bb4a970aca44298c.jpg,
3,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDXFvKF091ZZWoPqy5TV9f9WsARbX4LX0gyBVmcif8UYmECVNzrz4aOkwMHFlFvKuFXS4&usqp=CAU,
4,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkI8Hf1ZOunZ0-SEYNZZAvQ2aPPLa0lI-ejBJt6FU6PdLoV_HRCyX12arJcEKgygIBEyo&usqp=CAU,
5,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRPZ4S_lwg1FUhaV1Yuz5VE9XlWkFHb-7VvDaM0hyvdhEvSjcQdMPZ6gLguYqWK2nHtIM&usqp=CAU,
6,,https://duhocsunny.edu.vn/wp-content/uploads/2020/05/cach-lam-bibimbap-2.jpg,
7,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThF47lPCgykRIigX6jTkrNednvJUxs_XcJLybPcSi0elYW7Tm44OEtRdU9yLevxOzpPnU&usqp=CAU,
8,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5BaGqzSbf3QY8W-teXs9alkf2NK90406Z9nsjvxlyodTPh44yTgxj_Gx3MwlmTJex1uc&usqp=CAU,
9,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnpnaWhdRw25OXgU1dYV5O0rS0ce5MQAs9VEixGFg7PYJTSI19sobOIbM_4zkvtnE_w0M&usqp=CAU,
10,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJqJ4J0yftuOfBOU0U3If_bxul7B29oiL7Z5IkN2t5aPGui6u4Xs2z-kYxTTUW3G_kp5A&usqp=CAU,
