No.,Image,Url,Description
1,,https://i.pinimg.com/474x/10/38/67/10386707585dab3fec3e060e1c13d300.jpg,
2,,https://www.huongnghiepaau.com/wp-content/uploads/2022/07/bingsu-dua-hau-cuc-mat-lanh.jpg,
3,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGw2bw1vM0DLfQz3lGOvsxLe08hb4TqdWt3rDJT2TGCN6ZM_NhuqDGtM498L6Uv6iXDCo&usqp=CAU,
4,,https://gcs.tripi.vn/public-tripi/tripi-feed/img/474113TFD/bingsu-la-mon-an-xuat-xu-tu-han-quoc-voi-thanh-phan-chinh-la_lukps_110106621.jpg,
5,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWEksuZnvpfdW0E9DmyNR-xbzdqnM0m9rNcWb5PZarw08cK3c2nC3DUNm4flw3EZOBVCA&usqp=CAU,
6,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJrU44t3bhrZ2KutihCZ2o5ke4Xtbw-68R7E53iB12MetG2tJ56uBTGA36EQV3Yc1-FHs&usqp=CAU,
7,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2qqp462INHpjcV0-Q3oM3DkzPm1It6PjTFhx0DxYcaA9G3SEoHLcUuVmp2OMbzv60Lj4&usqp=CAU,
8,,https://i.pinimg.com/474x/75/fd/4f/75fd4fe429e47f129a6b0f4626a7d682.jpg,
9,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8z1uODBrdVIhbmWmML5pOem6S7Pd1aZQTSLZWl8j2p5LPbQ3WsH428ubWnRuqAN8up6Q&usqp=CAU,
10,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRB2TF2RezDu2qanpH9-FxrjnVcFNS3vtj7FpbMjdZK3Lj55aMnrxznci08Cx58Jp0sqvg&usqp=CAU,
11,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGUR6YM7MQhdYDtdOIphyBxz2M2dmiPMq0_HH7eNJfX6K1O05IJIZY0PNEuJVnAyXqe98&usqp=CAU,
12,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_jC0eKyFT8yTpRjw6so64LYH6OMQ0_-ftFjKIMKOVAw9OX6xNkRloib6geFfONVcoGp4&usqp=CAU,
13,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRD8VMZvRa_lMDgx7qJMT7zgcqWl2_1f7yiRwOLggEqOyKsfzIaWzr57a7DmRgBiDJl9EM&usqp=CAU,
14,,"https://assets.epicurious.com/photos/64b06ce15265536910e94586/4:3/w_5034,h_3776,c_limit/Bingsu_HERO_071223_56686.jpg",
15,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVC6_f5hYglrr94B6Aa0J621UXB82YzMDLfM4Ug7LtvKa_X90FWxzQjUFLFxdpNXgnci8&usqp=CAU,
16,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuf49s2lpwjwYcmkhBR6I9RCt_Fkq39Yd6X-XY8KS3r6yodo_a9WJwJx5K0haTHBCTOlI&usqp=CAU,
17,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdl7S0zGDbdKEv_rcDz0k5Vp4vsDilopuekxSKD-wpCiUB4HJB-y2sqxYWh5EihQilknA&usqp=CAU,
18,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUfyhsT9AR9w35KXVVWGNzeDw--Mi22Jm4oALJMLlTT6ZLZu3ojHH9GZpJdalFsEu7_qo&usqp=CAU,
19,,https://cdn.tgdd.vn/2021/03/CookProduct/10-1200x676-1.jpg,
20,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7BNcIdIUfoCkZhmeB0i5OkSaYGK0cFscMrmF9Cz1rFLzH1p10pEwEujoeLs-VigvZJdQ&usqp=CAU,
21,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAn0vhJJ7RzIhi_MLBMvXgzC-_PwGH_7bUOwnTRfks6x645G2CQCf_d1tO4o6fi1vPS38&usqp=CAU,
22,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6683DLUoGe7NXs2SWSfLH5YayT6p2C2SX-PlZdiA3HDUEAPz-aByE4vmSECDZgl3ekpI&usqp=CAU,
23,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRh2VFJE67uu3WNswiT-RzvWJIXCGnC-TRuTf6kw0-2aiN79OWGbeZw7CD-x_x_xRk8ntw&usqp=CAU,
24,,https://i.pinimg.com/474x/66/dd/e5/66dde5b75145239b3a58466a23f7b830.jpg,
25,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS03wayX9dvgrpKtjRVfttjOKAevNZG8T02HoWlHaFsXNxCzNeQE7859fiMtt8Zl7ugRR0&usqp=CAU,
26,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDgp6xFedXboZtlHRyzO6smp29aUQltcQv3c14-Nk4cDqKaAjkbr7vl2WXggPbcbUIK90&usqp=CAU,
27,,https://i.pinimg.com/474x/4e/03/28/4e0328d09558bb9d05af13f50a3b0ea1.jpg,
28,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPKMh0D08uKtgQexulgcveF5vS16U1Lj2-3K4T-Mb_sVGk1c0DUr1kOnAntYwescu8j7M&usqp=CAU,
29,,https://noithatkendesign.vn/storage/app/media/uploaded-files/menu-quan-cafe-bingsu-7a.png,
30,,https://nhn.1cdn.vn/2023/05/15/coffeesmith1.jpg,
31,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6wsDTSuE4Zjrc10OSXMA2ZvZLdKbw6KAiHdW3MgurTIdybUzpQ5I9DwRYxdftI5DJJvI&usqp=CAU,
32,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtNSnjMAy_P_uxnDuy7lYHhDgy7BqegzyZ_Fa6tca_kaEOdQpZHEAibIzIO2luwwZl-G0&usqp=CAU,
33,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScKLOdTeoc06BhfAwlVsGnXwZmk9oxXcwJRj4ebgJVnWEZYs5uge7sFW8o5oY8bfVntus&usqp=CAU,
34,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMQXU913mdynXQWlJMwqIJpmhWktk1R2QFIVs35Mya5VXEDHXZl7cLriF43YLwWb4aT9I&usqp=CAU,
35,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_KlE4U-HNXdu9n6z9lNPcellQIjmOb7_cdLG-yPzCCAeOlQsiSwFv1EjvlcHIOQxFPAg&usqp=CAU,
36,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjprngFhLbRQk8lHUJApZBv47AEiBj99zHxKhhniacGnr3bBHg0P6S8j4vP1qZATYDJD4&usqp=CAU,
37,,https://chefjob.vn/wp-content/uploads/2017/11/khai-niem-ve-mon-bingsu.jpg,
38,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaXFlLJPC7_yDcytwZwJDV7sRdrfMM4GJ1ywOs1-Pca1m_QaSXjoNRrhyIzdbxnDkVhSQ&usqp=CAU,
39,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHkgAjrfPKKdN26tX7PmRPyEsm-542troBuaIjkOUdmAMWJanJ7IEhTyfNZ1QCptW29zI&usqp=CAU,
40,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSm14C69TU3f1FUIsugYvu6MZZP2ceF7pLRNxPzO_nPAUfRMFr3epR-qiU3D2K2SRcoGdw&usqp=CAU,
41,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS91gGkfbbYOdraTitNHaoeHA67yUTYGwM5fvPReZvDRneXlVunUqBOAVQLzf3tg8yCe2k&usqp=CAU,
42,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbwkArScijrzw1H0dKfywma9rFO8DHT_11z_Lqe2agPCB-k69eagX632dGgHVo8c2LH84&usqp=CAU,
43,,https://cdn.tgdd.vn/Files/2022/09/08/1466186/cach-lam-bingsu-matcha-mat-lanh-giai-nhiet-ngay-he-oi-a-202209081637034531.jpg,
44,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR57SacJYbkZdDLdbMgqXf3BQtXEVmAlj-MbtXI3yA9w-zCEWoIwzcp5RNxsQF_JsrNFiI&usqp=CAU,
