No.,Image,Url,Description
1,,https://cdn.tgdd.vn/2022/03/CookDish/huong-dan-cach-nau-bun-thang-ngon-chuan-vi-ha-noi-avt-1200x676.jpg,"Nguyên liệu cho 2-3 người

Gà: 1 con
Giò lụa: 200g
Xương heo: 500g
Tôm tươi: 200g
Tôm khô: 100g
Mực khô: 100g
Trứng: 3 quả
Bún: 1kg
Hành lá, rau răm, hành khô
Gừng, nấm hương, củ cải khô
Bột nêm vị gà
Hạt tiêu đen"
2,,https://cdn.mediamart.vn/images/news/hung-dn-cach-lam-bun-thang-ha-ni-chun-v-cc-don-gin_0bb203d0.jpg,
3,,https://anh.24h.com.vn/upload/3-2017/images/2017-08-02/1501647561-bun-thang-ngon.jpg,
4,,https://digifood.vn/blog/wp-content/uploads/2021/06/bun-thang-ha-noi-1-1024x999.jpg,
5,,https://i.pinimg.com/736x/c9/5f/a3/c95fa3dae4fbf7ab02eae345fef72b64.jpg,"Nguyên liệu cho 2-3 người

Gà: 1 con
Giò lụa: 200g
Xương heo: 500g
Tôm tươi: 200g
Tôm khô: 100g
Mực khô: 100g
Trứng: 3 quả
Bún: 1kg
Hành lá, rau răm, hành khô
Gừng, nấm hương, củ cải khô
Bột nêm vị gà
Hạt tiêu đen"
6,,https://cdn3.ivivu.com/2022/12/bun-thang-luon-ivivu-2.jpg,
7,,https://www.hoidaubepaau.com/wp-content/uploads/2018/06/mon-bun-thang-ha-noi.jpg,
8,,https://file3.qdnd.vn/data/images/14/2024/01/18/upload_2323/at.jpg?dpi=150&quality=100&w=870,"Nguyên liệu cho 2-3 người

Gà: 1 con
Giò lụa: 200g
Xương heo: 500g
Tôm tươi: 200g
Tôm khô: 100g
Mực khô: 100g
Trứng: 3 quả
Bún: 1kg
Hành lá, rau răm, hành khô
Gừng, nấm hương, củ cải khô
Bột nêm vị gà
Hạt tiêu đen"
9,,https://2.bp.blogspot.com/-Pa_GMBIqh0E/UqoPHTY_uXI/AAAAAAAAAFY/hhl6c5LqzvA/s1600/_DSC2545.jpg,Bún thang là một trong những món ăn thể hiện nét đặc sắc trong văn hóa Ẩm thực của người Hà Nội. Đây là món ăn sử dụng nhiều nguyên liệu nhưng cách nấu lại khá đơn giản.
10,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg5VLtffLuM1JJecUKu_9a5-Kr-8g-yBAdkjszxyzXwmoOwmy-NmKDnABdvBGKMJkmXxc&usqp=CAU,
11,,https://cdn.tgdd.vn/2023/03/CookDish/bun-thang-luon-mon-an-ngon-la-dac-san-tru-danh-pho-hien-avt-1200x676.jpg,
12,,https://cdnmedia.baotintuc.vn/Upload/xtAvRegYrhhxa3v3I8sHdA/files/2019/02/2702/bun-thang(1).jpg,
13,,https://checkinvietnam.vtc.vn/media/20230129/images/giai-quyet-ga-thua-ngay-tet-1.jpg,
14,,https://statics.vinpearl.com/bun-thang-ha-noi-15_1688031888.jpg,"Nguyên liệu cho 2-3 người

Gà: 1 con
Giò lụa: 200g
Xương heo: 500g
Tôm tươi: 200g
Tôm khô: 100g
Mực khô: 100g
Trứng: 3 quả
Bún: 1kg
Hành lá, rau răm, hành khô
Gừng, nấm hương, củ cải khô
Bột nêm vị gà
Hạt tiêu đen"
15,,https://www.hungryhuy.com/wp-content/uploads/bun-thang.jpg,
16,,https://cdn.vovlive.vn/2022/08/18/image.vtc.vn-upload-2022-08-18-_bun-thang-meieimeee-9-14402884.jpg,
17,,https://media.urbanistnetwork.com/saigoneer/article-images/2023/07/14/bunthang/16b.jpg,
18,,https://i.pinimg.com/474x/d9/4c/14/d94c1478549d27bae035a6ac03225a0e.jpg,
19,,https://statics.vinpearl.com/bun-thang-ha-noi-8_1688031715.jpg,
20,,https://toplist.vn/images/800px/bun-thang-mot-buoi-sang-974283.jpg,
21,,https://rangsua.vn/wp-content/uploads/2023/03/bun-thang-3-1068x1037.jpg,
22,,https://static.utop.vn/backupblog/richtexteditor/bun-thang-luon-pho-hien-4_1282008787_20220818.jpg,
23,,https://deliciousvietnam.net/wp-content/uploads/2020/05/Bun-Thang-Vietnamese-Noodle-Soup-Egg-Pork-Chicken-4.jpeg,
24,,https://dulichminhanh.com.vn/wp-content/uploads/2022/08/bun-thang-ha-noi-dac-san-ha-noi-2.jpg,
25,,http://dulichvn.net/wp-content/uploads/2023/07/bun-thang-mot-buoi-sang-ha-noi.jpeg,
26,,https://i.pinimg.com/474x/78/1b/89/781b89961080f171af14325845ab43c0.jpg,
27,,https://nuocmamtin.com/wp-content/uploads/2022/07/7-6.jpg,
28,,https://toplist.vn/images/800px/bun-thang-89-pho-hien-xua-1030842.jpg,"Bún thang là một món ăn có hương vị và cách trang trí vô cùng tinh tế, thể hiện sự cầu kỳ, khéo léo của người nấu. Món ăn có sự kết hợp của nhiều các nguyên liệu khác nhau từ thịt gà, giò, trứng, tôm khô tạo nên mùi vị và hương thơm đặc trưng, ngon khó cưỡng."
29,,https://kenhhomestay.com/wp-content/uploads/2022/12/bun-thang-ha-noi-19.jpg,
30,,https://giadinh.mediacdn.vn/296230595582509056/2023/2/2/bun-thang1-16753255579101032276678.jpg,
31,,https://cdn-www.vinid.net/d71b8727-bun-thang.jpg,
32,,https://dulichminhanh.com.vn/wp-content/uploads/2022/08/bun-thang-ha-noi-dac-san-ha-noi-1.jpg,
33,,https://static-images.vnncdn.net/files/publish/2023/6/15/w-bun-thang-18-1-1471.jpg,
34,,https://vaas.vn/kienthuc/Caylua/img/12_bunthang01.jpg,
35,,https://imagev3.vietnamplus.vn/w1000/Uploaded/2024/qfsqy/2023_12_09/bun-thang-luon-2873.jpg.webp,
36,,https://media.mia.vn/uploads/blog-du-lich/bo-tui-8-quan-bun-thang-ha-noi-ngon-ma-ban-khong-nen-bo-lo-03-1639330453.jpg,
37,,https://i.ytimg.com/vi/DVoNZvrG0Ac/maxresdefault.jpg,
38,,https://cookbeo.com/media/2021/07/bun-thang/bun-thang-5x7.jpg,
39,,https://foodvn.net/wp-content/uploads/2022/02/bun-thang.jpg,
40,,https://ticotravel.com.vn/wp-content/uploads/2022/05/Bun-thang-Ha-Noi-4.jpg,
41,,https://nonglamfood.com/uploads/images/news/đặc-sản-hà-nội.jpg,
42,,https://statics.vinpearl.com/bun-thang-ha-noi-1_1679579599.png,
43,,https://img-global.cpcdn.com/recipes/46eac8361b1b1203/680x482cq70/bun-thang-ha-n%E1%BB%99i-recipe-main-photo.jpg,
44,,http://hanoi-online.net/wp-content/uploads/2018/03/Bun-Thang-1.jpg,
45,,https://i.pinimg.com/474x/4d/4f/ba/4d4fba5c6bad1f17d06e755734e5237d.jpg,
46,,https://halotravel.vn/wp-content/uploads/2020/08/bt-4-1024x930.jpg,
47,,https://static.vinwonders.com/production/bun-thang-ha-noi-1.jpeg,
48,,https://platvietnam.com/wp-content/uploads/2020/12/bun-thang.jpg,
49,,https://cdn.phunusuckhoe.vn/2022/2/11/a-1644549077779216212879.jpg,
50,,https://i0.wp.com/mywellnesspedia.com/wp-content/uploads/2017/06/Bun-thang-Ha-Noi-4.jpg?fit=1500%2C994&ssl=1,
51,,https://i.pinimg.com/474x/cc/8a/3c/cc8a3c980024d61e682c8b002c333524.jpg,
52,,https://toplist.vn/images/800px/bun-bung-ha-noi-ly-chinh-thang-997528.jpg,
53,,https://cdn.vntrip.vn/cam-nang/wp-content/uploads/2017/09/cach-nau-bun-thang-ngon-tai-nha-1-e1505199106996.jpg,
54,,https://i.pinimg.com/564x/db/75/e4/db75e402effb42d3c6201401de006819.jpg,
55,,https://i.pinimg.com/474x/fe/12/4a/fe124a9faa033531b0016c113ec502bb.jpg,
56,,https://cdn3.ivivu.com/2022/08/b%C3%BAn-thang1.jpg,
57,,https://i.ytimg.com/vi/RKRspQxzbnE/maxresdefault.jpg,
58,,https://unimall.vn/storage/uploads/bun-thang-00-1647491817.jpg,"Bún thang là một món ăn có hương vị và cách trang trí vô cùng tinh tế, thể hiện sự cầu kỳ, khéo léo của người nấu. Món ăn có sự kết hợp của nhiều các nguyên liệu khác nhau từ thịt gà, giò, trứng, tôm khô tạo nên mùi vị và hương thơm đặc trưng, ngon khó cưỡng."
59,,https://noiphoquanghuy.vn/wp-content/uploads/2022/03/1_-Tai-sao-goi-la-bun-thang-cach-nau-bun-thang-thom-ngon-chuan-vi.jpg,
60,,https://cookbeo.com/media/2021/07/bun-thang/bun-thang.jpg,
61,,https://i.pinimg.com/474x/09/65/f2/0965f21734b46bd3c93dfc2b0c0e6c7b.jpg,
62,,https://i.pinimg.com/474x/e3/7f/d1/e37fd173262d8397f070518026e77c11.jpg,
63,,https://media.baothaibinh.com.vn/upload/news/7_2013/18749_bunthang.jpg,
64,,https://deliciousvietnam.net/wp-content/uploads/2020/05/Bun-Thang-Vietnamese-Noodle-Soup-Egg-Pork-Chicken-3-1600x1261.jpeg,
65,,https://delightfulplate.com/wp-content/uploads/2017/05/Vietnamese-Bun-Thang-Hanoi-chicken-vermicelli-noodle-soup-with-eggs-and-pork-1024x1536.jpg,
66,,https://i.pinimg.com/474x/83/da/42/83da42418669f6508daad8027bc46a42.jpg,
67,,https://i.pinimg.com/originals/b7/60/49/b760498f57183a4c55f3da84de63a3cd.jpg,
68,,https://deliciousvietnam.net/wp-content/uploads/2020/05/Bun-Thang-Vietnamese-Noodle-Soup-Egg-Pork-Chicken-1-1870x1403.jpeg,
69,,https://i.pinimg.com/474x/6f/0a/f2/6f0af2f19939326ee6111719916bb5de.jpg,
70,,https://i.pinimg.com/originals/11/49/42/11494204fc5bbffbd679dfa8ffa73001.jpg,
71,,https://i.pinimg.com/474x/4b/9e/3f/4b9e3f601468afd3081821a94deead65.jpg,
72,,https://delightfulplate.com/wp-content/uploads/2020/05/Bun-thang-square-768x768.jpg,
73,,https://delightfulplate.com/wp-content/uploads/2017/05/Bun-thang-Vietnamese-vermicelli-chicken-noodle-soup-2.jpg,
74,,https://i0.wp.com/scruffandsteph.com/wp-content/uploads/2017/09/mien-ga-5-13.jpg?fit=3664%2C3664&ssl=1,
75,,https://images.squarespace-cdn.com/content/v1/52d3fafee4b03c7eaedee15f/1550789255541-779HB4HQ8UJAD1QBVVLA/bun+thang+hanoi+chicken+noodle+soup+3+watermark.jpg,
76,,https://www.saveur.com/uploads/2019/02/08/SADVOD73POLLZIYIJM7LPWQT7Y.jpg,
77,,https://images.squarespace-cdn.com/content/v1/52d3fafee4b03c7eaedee15f/1563423330751-PDGAIDU4C1EZF5L0WOTA/pho+ga1.jpg,
78,,https://i.guim.co.uk/img/media/1ab9ea9bf796e8562570a85a08e958ccb894f741/0_2378_3708_2224/master/3708.jpg?width=465&dpr=1&s=none,
79,,https://ezvietnamesecuisine.com/wp-content/uploads/2019/09/bun20thang204.jpeg,Vietnamese Bun thang (Hanoi rice vermicelli noodles with chicken and eggs)
80,,https://thumbs.dreamstime.com/b/bun-thang-vietnamese-noodle-soup-chicken-pork-egg-herb-shrimp-closeup-plate-vertical-table-196491887.jpg,
81,,https://i.pinimg.com/originals/f5/b6/2c/f5b62ca754a884dccfb80de7274e3f4f.jpg,
82,,https://i.pinimg.com/originals/1b/4c/91/1b4c910c7ee4eafc8786e274d07e9427.jpg,
83,,https://i.pinimg.com/474x/d5/d0/56/d5d056b328e32c975c30eabeba91312a.jpg,
84,,https://hungryhuy.com/wp-content/uploads/bun-thang-with-ca-cuong.jpg,
85,,http://delightfulplate.com/wp-content/uploads/2017/05/Bun-thang-Vietnamese-vermicelli-noodles-3.jpg,
86,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmONVIp_u9bNjsEW6116mCV5tifRVF3FMULHu7hO8Za_w3zfZofPhvCbnArxYN-xstJDU&usqp=CAU,
87,,https://i.pinimg.com/474x/bc/4e/34/bc4e34c406938c6b8bb6277c68e9ad92.jpg,
88,,https://images.squarespace-cdn.com/content/v1/52d3fafee4b03c7eaedee15f/1550788999647-SREQ3U8T2174IM4WYY34/bun+thang+hanoi+chicken+noodle+soup+2+watermark.jpg,
89,,https://i.pinimg.com/originals/8c/e6/aa/8ce6aa40a721056bd2ce53ddedaa4001.jpg,
90,,https://i.pinimg.com/474x/dd/1e/cf/dd1ecf32316cf4acf89f2e4f96c3fa90.jpg,
91,,https://i.pinimg.com/originals/3c/3b/6d/3c3b6d0e82ea411fd0325dad1b0b3a8c.jpg,
92,,https://i.pinimg.com/474x/bb/98/ff/bb98ff39413ee637bd947d0caa95809b.jpg,
93,,http://delightfulplate.com/wp-content/uploads/2017/05/Bun-thang-Vietnamese-chicken-vermicelli-1.jpg,"Vietnamese Bun thang (Hanoi rice vermicelli noodles with chicken, eggs and pork) is a sophisticated Northern Vietnamese noodle soup. #soup #vietnamese #bunthang"
94,,https://i.pinimg.com/474x/82/34/9e/82349e829907c9902f010b5bb76bf6df.jpg,
95,,https://i.pinimg.com/474x/60/95/4d/60954d29315f5e522ed67ab8669968f5.jpg,
96,,https://i.pinimg.com/474x/3f/24/93/3f2493c3b5614340fdcdbc5b6d9c6712.jpg,
97,,https://i.pinimg.com/474x/a9/0f/1b/a90f1b649926393b27715d845bc50308.jpg,
98,,https://i.pinimg.com/474x/b2/11/fd/b211fd63d0a0424de9e76ffda664316e.jpg,
99,,https://i.pinimg.com/474x/74/3d/26/743d268f5f52da3d44b2584aeef8cc80.jpg,
100,,https://i.pinimg.com/474x/70/d1/bf/70d1bf5f98a95974cad0d75c4523b205.jpg,
101,,https://i.pinimg.com/474x/57/05/98/570598b45e4310125d7534b4cf3716ec.jpg,
102,,https://i.pinimg.com/474x/74/cc/85/74cc851caae9b364671c847ee5290c8a.jpg,
103,,https://i.pinimg.com/474x/d0/17/02/d017024f9c2bacdf2e1044c881c00d0c.jpg,
104,,https://i.pinimg.com/474x/ff/21/d0/ff21d0023e7d92db9656baf46b9b34c3.jpg,
105,,https://beptruong.edu.vn/wp-content/uploads/2020/04/bun-thang-ha-noi.jpg,"Món bún thang Hà Nội nổi tiếng với hương vị thanh ngọt, được kết hợp từ những nguyên liệu đơn giản nhưng cầu kỳ trong cách chế biến, là món ăn thể hiện rõ nét phong cách ẩm thực của người Hà Thành. Một tô bún thang chuẩn vị gồm có bún, gà luộc, trứng tráng, giò lụa, ruốc tôm, nấm hương và củ cải khô. Vị ngọt thanh của nước dùng hòa quyện với vị ngọt đậm của thịt gà ta, chút béo ngậy của trứng và thơm nồng của tôm khiến bạn ăn một lần là nhớ mãi. Chi tiết nguyên liệu và cách chế biến xem tại https://beptruong.edu.vn/day-nau-an/mon-an-ngon/bun-thang-ha-noi"
