No.,Image,Url,Description
1,,https://thuvienamthuc.vn/app_images/news/2021/08/05/cach-lam-ca-chem-hap-tau-xi-chuan-vi-hoa-800-114352.jpg,
2,,https://monngonmoingay.com/wp-content/uploads/2020/09/ca-hap-tau-xi-800.jpg,
3,,https://lh6.googleusercontent.com/UpW-CKG2gRfKvm3euaxz46j0K8YbKWyGpa_CYWQxmuUvTZZ4MDgH3kJ3K41ezXo0ciYm0F5vNfRS3cWslb-VL-Z6xTBi8ZJamrtEIQpIEiwtTXPuuRjPzqo3HdIqU14LHtYOkFyj,
4,,https://i.ytimg.com/vi/PTPzuNBAtuc/maxresdefault.jpg,
5,,https://barona.vn/storage/meo-vat/160/ca-hap-xi-dau.jpg,
6,,https://s.meta.com.vn/img/thumb.ashx/Data/image/2021/12/29/cach-lam-ca-mu-hap-xi-dau-al.jpg,
7,,https://i.ytimg.com/vi/pN1IcHSsl88/maxresdefault.jpg,
8,,https://cdn.tgdd.vn/Files/2020/02/14/1236363/ca-hap-xi-dau-thom-ngot-cuc-ky-de-lam-202211041513457048.jpg,
9,,https://nhahanghuonglua.com/upload/product1/thiet-ke-khong-ten-97-5174_502x422.png,
10,,https://i.pinimg.com/564x/36/44/44/364444c07af7ab1af7f73ba3fbb9745d.jpg,
11,,https://haisancoto.com/uploads/images/cach-lam-ca-song-hap-xi-dau-ngon.jpg,
12,,https://haisan.online/wp-content/uploads/2022/01/ca-dia-nau-mon-gi-ngon-14.jpg,
13,,https://dattiectainha24h.vn/wp-content/uploads/2020/10/C%C3%A1ch-l%C3%A0m-c%C3%A1-m%C3%BA-h%E1%BA%A5p-1200x856.jpg,Cá mú hấp tàu xì của Hà Tăng Xem thêm tại https://congthucmonngon.com/2020/09/21/ca-mu-hap-tau-xi-cua-ha-tang/
14,,https://cdn.tgdd.vn/Files/2021/11/02/1395255/cach-lam-ca-chem-hap-tau-xi-chuan-vi-nguoi-hoa-khien-ca-nha-thich-me-202111021511234580.jpg,Cá mú hấp tàu xì của Hà Tăng Xem thêm tại https://congthucmonngon.com/2020/09/21/ca-mu-hap-tau-xi-cua-ha-tang/
15,,https://i.ytimg.com/vi/oYLwIGkydS8/maxresdefault.jpg,
16,,https://cdn-www.vinid.net/278397cc-ca-mu-hap-xi-dau-1.jpg,
17,,https://i.pinimg.com/564x/44/9f/a7/449fa7de3f43aa75e4c5734ae0cd0d55.jpg,
18,,https://daotaobeptruong.vn/wp-content/uploads/2020/04/ca-chem-lam-gi-ngon.jpg,
19,,https://cdn.tgdd.vn/2021/05/CookRecipe/Avatar/ca-dieu-hong-hap-tau-xi-thumbnail-1.jpg,
20,,https://monngonmoingay.com/wp-content/uploads/2015/08/AGF_0921_CaHApNuocTUong.png,
21,,https://thuvienamthuc.vn/upload/images/2021/06/15/41.jpg,
22,,https://i.ytimg.com/vi/lWFz08izdik/maxresdefault.jpg,
23,,https://hoaxuongrong.org/Resources/media/images/Article/2020/2871/ca-dieu-hong-hap-tau-xi-1.jpg,
24,,https://monngonmoingay.com/wp-content/uploads/2022/04/ca-bong-mu-hap-cay-880.jpg,
25,,https://cdn.tgdd.vn/2021/02/CookRecipe/Avatar/ca-dieu-hong-hap-hong-konh-thumbnail-1.jpg,
26,,https://cdn.tgdd.vn/2021/05/CookProduct/BeFunky-collage(2)-1200x676-3.jpg,
27,,https://vuacabongmu.com/wp-content/uploads/2022/02/IMG_6442-1024x768.jpg,
28,,https://img.tastykitchen.vn/resize/764x-/2021/06/04/cong-thuc-lam-ca-chep-hap-xi-dau-cung-khong-qua-kh-c58f.jpg,
29,,https://nhahangbienviet.com/wp-content/uploads/2022/07/ca-mu-hap-xi-dau.jpg,
30,,https://file.hstatic.net/200000112577/article/ca-bon-hap-tau-xi_e8af0baa47f24d1d95959aa2345a4fed_large.jpg,
31,,https://www.lorca.vn/wp-content/uploads/2022/07/ginger-scallion-fish-main-jc-210921.jpg,
32,,https://haithuycatering.com/image/5c663fa3e4a8d61d75c2d3de/thumbnail.jpg,
33,,https://tapchinhabep.net/wp-content/uploads/2020/04/cach-lam-ca-song-hap-xi-dau-1-15379526010561423866855.jpg,
34,,https://cdn.tgdd.vn/2021/08/CookProduct/othum-1200x676.jpg,
35,,https://monanngon.info/wp-content/uploads/2016/09/ca-hap.jpg,
36,,https://anh.eva.vn/upload/4-2016/images/2016-12-01/1480591030-cach-lam-ca-hap_-watermark.jpg,
37,,https://bepmina.vn/wp-content/uploads/2021/08/cach-lam-ca-chem-hap-xi-dau.jpeg,
38,,https://statics.vinpearl.com/ca-hap-cuon-banh-trang-01_1632049571.jpg,
39,,https://cdn.tgdd.vn/2021/05/CookProduct/ca-chep-hap-bia-thumbnail-1200x676-1200x676.jpg,
40,,https://haithuycatering.com/image/5c10830f51046d4664d015e6/original.jpg,
41,,https://i.ytimg.com/vi/PhEpxxTPRZk/maxresdefault.jpg,
42,,https://i.pinimg.com/564x/ef/81/2e/ef812ec3773d7f1038d88c79f10d2f7b.jpg,"Cá thu nướng chanh muối
4 fillets mackerel
2 tbsp harissa paste
1 tbsp olive oil
2 preserved lemons
4 cloves garlic
1 tsp ground cumin
1 tsp smoked paprika
1/2 tsp sea salt
1/4 tsp freshly ground black pepper
fresh parsley
https://www.cookingmediterranean.com/baked-mackerel-with-harissa-and-preserved-lemons/"
43,,https://i.ytimg.com/vi/c72rFfY_vow/maxresdefault.jpg,
44,,https://cdn3.ivivu.com/2020/12/cach-lam-ca-chem-hap-hong-kong-ngon-nhu-nha-hang-ivivu-1.jpg,
