No.,Image,Url,Description
1,,https://statics.vinpearl.com/com-ha-noi-5_1673508871.jpg,"Cốm là món ăn đặc sản của vùng đất Bắc Bộ, nhất là tại khu vực Hà Nội. Ngoài ra, cốm còn có mặt ở cả miền Trung và miền Nam, mỗi nơi đều cách chế biến và hương vị đặc trưng riêng.

Nguyên liệu chính để chế biến món ăn này chính là lúa nếp non. Để món cốm có hương vị thơm ngon đúng chuẩn, người ta thường lựa chọn lúa nếp cái hoa vàng. Bên cạnh đó, các loại lúa nếp khác như: lúa lương phượng, lúa nếp thơm, nếp tan, nếp quýt, nếp hoa cũng được yêu thích sử dụng.

Lúa non phải qua nhiều công đoạn chế biến kỳ công, tỉ mỉ mới cho ra mẻ cốm với vị ngọt thanh như sữa, gói gọn trong mùi hương thoang thoảng của lá sen. Chính hương vị thanh mát ngọt ngào này, đã làm say lòng biết bao nhiêu người."
2,,https://i.pinimg.com/474x/12/f1/94/12f19496dd25d8cb15f10a5fc807ad05.jpg,
3,,https://static-images.vnncdn.net/files/publish/2022/9/11/3-mon-ngon-tu-com-khi-ha-noi-vao-thu-a8830ecbc926472caf67254059161751.jpg,
4,,https://digifood.vn/blog/wp-content/uploads/2021/05/1-9-768x768.jpg,
5,,https://cdn.vovlive.vn/2022/10/11/image.vtc.vn-upload-2022-10-10-_xoi-com-hongnhungtthn-18270014.jpg,
6,,https://i0.wp.com/comhuongmai.com/wp-content/uploads/2019/05/com-tuoi-dac-san-mua-thu.jpg?fit=720%2C627,
7,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThOotLPo5WFUPcT1yvlIViQqw0Alv3Z_vZdw_zF6idEd7RHy95w2evziMbtLxfm_fi4eg&usqp=CAU,
8,,https://honglam.vn/pic/general/images/com-va-huong-vi-thu-ha-noi.jpg,
9,,https://phucfood.vn/wp-content/uploads/2023/06/com-42.jpg,
10,,https://digifood.vn/blog/wp-content/uploads/2021/05/tranglady97_73546075_154498445802883_4245737081607811663_n-1024x1024.jpg,
11,,https://ddk.1cdn.vn/2022/09/25/image.daidoanket.vn-images-upload-linhdh-09242022-_img_0515.jpg,
12,,https://media.mia.vn/uploads/blog-du-lich/binh-di-com-lang-vong-goi-gon-huong-vi-mua-thu-ha-noi-1640063188.jpg,
13,,https://digifood.vn/blog/wp-content/uploads/2021/05/hung17____120794114_256872062352054_1006330455783808300_n-822x1024.jpg,
14,,https://commocmetri.com/wp-content/uploads/2018/10/com-moc-me-tri.jpg,
15,,https://suckhoedoisong.qltns.mediacdn.vn/324455921873985536/2022/9/10/3-1662632240851209029746-1662769790996-16627697912101175550048.jpg,
16,,https://static.vinwonders.com/production/com-ha-noi-banner_optimized.jpg,
17,,https://ttol.vietnamnetjsc.vn/images/2022/10/16/15/51/cach-nau-xoi-com-va-che-com-hat-sen-dam-chat-thu-ha-noi-ngon-bat-bai-5-683-1665884973762-1665884975367897007043.jpg,
18,,https://digifood.vn/blog/wp-content/uploads/2021/07/xoi-com-ha-noi-1-1024x1024.jpg,
19,,https://toplist.vn/images/800px/banh-com-ha-noi-885299.jpg,
20,,https://statics.vinpearl.com/xoi-com-ha-noi-3_1692091218.jpg,
21,,https://img-global.cpcdn.com/recipes/b9d7ce5f40095531/1360x964cq70/banh-c%E1%BB%91m-recipe-main-photo.webp,
22,,https://static.vinwonders.com/production/com-ha-noi-02.jpg,
23,,https://phucfood.vn/wp-content/uploads/2023/06/com-20.jpg,
24,,https://i.pinimg.com/564x/06/0c/59/060c596d91cd31caabc24a80f827b8a5.jpg,
25,,https://i.pinimg.com/474x/c1/80/aa/c180aa8babdb5d107cb4eea4d7cbee04.jpg,
26,,https://nguyenninh.com/wp-content/uploads/2021/12/com11.png,
27,,https://sieuthihanoicongquynh.com/public/upload/products/IMG_20220324_052711.jpg,
28,,https://digifood.vn/blog/wp-content/uploads/2021/05/xoi-com-me-tri-Copy-1024x768.jpg,
29,,https://huroji.com/mua-banh-com-o-ha-noi/imager_1_23901_700.jpg,
30,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9aAdG32cP7hENSBJ6F3SEE2uCKMvPf_Ffw_KLPR1c9mJvbGygs_YiMKkTdSQWtcmSFrM&usqp=CAU,
31,,https://giochabobich.com/wp-content/uploads/2022/11/cha-com-1000x565.jpg,
32,,https://statics.vinpearl.com/com-ha-noi-7_1673508846.jpeg,
33,,https://1.bp.blogspot.com/-1MNO1vjIE_w/UoCPewKDlLI/AAAAAAAAAWQ/Fb9tidus-e8/s1600/com-kho-lang-vong.jpg,
34,,https://phucfood.vn/wp-content/uploads/2023/06/com-53.jpg,
35,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPZnvgoXuw71qcq4ke8G_2JuUFGAApXW6GL57cyyxHYmQvGhkI03T1B33j3MCcyWvLInM&usqp=CAU,
36,,https://i.pinimg.com/474x/24/a7/61/24a761dcc540be42f519a148c83f2cb0.jpg,
37,,https://cdn.tgdd.vn/2021/06/content/com-la-gi-cach-bao-quan-com-tuoi-mua-com-lang-vong-o-dau-ngon3-800x450.jpg,
38,,https://nguyenninh.com/wp-content/uploads/2021/12/bao-quan-com-tuoi.jpg,
39,,https://cdn.tgdd.vn/Files/2021/08/29/1378806/cach-bao-quan-com-tuoi-lau-nhung-van-giu-tron-huong-vi-thom-ngon-202112310915384389.jpg,
40,,https://dacsancomlangvong.com.vn/wp-content/uploads/2020/10/com_tuoi_1.jpg,
41,,https://tapchinhabep.net/wp-content/uploads/2019/09/2_Com.jpg,
42,,https://afamilycdn.com/2017/luu-y-khi-an-com1-1505905204032.jpg,
43,,https://phucfood.vn/wp-content/uploads/2023/06/com-38.jpg,
44,,https://4.bp.blogspot.com/-s_Zf-JgzjXc/UobvWhHsF-I/AAAAAAAAAbE/sd_FNlmbl88/s1600/ban-com-lang-vong.jpg,
45,,https://i.pinimg.com/474x/ee/d7/82/eed7826e57040b6c207ee8a881f8f7c6.jpg,
46,,https://afamilycdn.com/2019/9/23/a1fd5785e3204b7f0fed2f0efa942a98-15692018994691052297351-crop-1569201910216943477872.jpg,
47,,https://i.pinimg.com/474x/85/07/14/8507146f7c56c2e3305fb09680f8b8c4.jpg,
