No.,Image,Url,Description
1,,https://i.pinimg.com/564x/62/82/af/6282af2b644016016bf1bd96fb2b2b4b.jpg,
2,,https://bazantravel.com/cdn/medias/uploads/28/28020-com-lam-ga-nuong-700x384.jpg,
3,,https://media.baosonla.org.vn/public/hieupt/2022-12-16/9.jpg,
4,,https://cdn.tgdd.vn/Files/2020/05/16/1255894/cach-lam-com-lam-thom-ngon-deo-ngot-don-gian-chuan-vi-tay-bac-1-760x367.jpg,
5,,https://down-vn.img.susercontent.com/file/1117382a3240fb26b62b21b959975fd1,
6,,https://culaochamtour.com/wp-content/uploads/2022/02/com-lam-thit-nuong-ong-tre-tay-giang-d.jpg,
7,,https://cdn.dealtoday.vn/83109d06eab84d9b86ab24ef479a42c4.jpg,
8,,https://i.pinimg.com/474x/76/2d/74/762d74777a10c923f35b3acf15773cdf.jpg,
9,,https://nhahangchotinhsapa.vn/wp-content/uploads/2024/02/image-cach-lam-com-lam-ong-tre-don-gian-164980177714470.jpg,
10,,https://cdn-www.vinid.net/829ff5f7-com-lam.jpg,
11,,https://thucphamdongxanh.com/wp-content/uploads/2020/09/thanh-pham-com-lam-ong-tre.jpg,
12,,https://thuhangtravel.vn/wp-content/uploads/2022/09/dac-san-com-lam-ba-vi.jpg,
13,,https://cdn.tgdd.vn/2021/09/CookRecipe/GalleryStep/nau-com-lam-5.jpg,
14,,https://thucphamdongxanh.com/wp-content/uploads/2020/09/cung-cap-ong-tre-com-lam-gia-si.jpg,
15,,https://poliva.vn/wp-content/uploads/2019/07/com-lam-son-la4.jpg,
16,,https://i.pinimg.com/474x/b4/68/f2/b468f2feb3a4ddd6bc7c111b78477604.jpg,
17,,https://cf.shopee.vn/file/7b7e63234750981d887ed019ebb67d23,
18,,https://danviet.mediacdn.vn/296231569849192448/2022/8/23/saostar-bfezege0ihm3u3h6-1661257452700-1661257452842571491021.jpg,
19,,https://luhanhvietnam.com.vn/du-lich/vnt_upload/news/04_2023/com-lam-tay-bac-12.jpg,
20,,https://cdn-www.vinid.net/56711763-com-lam-1.jpg,
21,,https://xanhbo.com/wp-content/uploads/2022/06/cach-lam-com-lam-ong-tre.png,
22,,https://gcs.tripi.vn/public-tripi/tripi-feed/img/473518soQ/image-son-la-co-dac-san-gi-ma-khien-du-khach-me-man-den-vay-164822394752674.jpg,
23,,https://agotourist.com/wp-content/uploads/2020/07/com-lam-ga-nuong-khuong-duy-o-da-lat.jpg,
24,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ17FPQYIqixNnu-Ut1MKd9wkTPJACts3DQPkwg19Qz47u1jR3AMMOVUEMJALSd0k9WC5s&usqp=CAU,
25,,https://vuanem.com/blog/wp-content/uploads/2023/03/cach-lam-com-lam.jpg,
26,,http://3.bp.blogspot.com/-m_XMWUdNMsc/T4gnvqD6TKI/AAAAAAAADC8/NCpyKzvZfnU/s1600/DSCF0284_BambooSweetRice.jpg,
