No.,Image,Url,Description
1,,https://cdn.tgdd.vn/2021/04/CookRecipe/GalleryStep/thanh-pham-474.jpg,
2,,https://i.pinimg.com/474x/f6/df/ea/f6dfeac93cc1fe59c85b93b6a41f3f3e.jpg,
3,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAhJUpxvIE0q6bC2VIXWXopMq8HVMI7ZwBcw&s,
4,,https://afamilycdn.com/150157425591193600/2022/2/25/com-rang-thap-cam-2-16457750259421468698180.jpg,
5,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDdHYwQ6MTKB7VI2a0v9o1bZiJqB6EZ4FOQg&s,
6,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSo5uMh0gGuvWRhNu65FM9T_qwthJPIqdQj7g&s,
7,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZOjdz2PBqhUhfAspRhFhurXC6_9-MejjH3A&s,
8,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3YtTCSZ4QO3LupyAfSDBx0XxUeJlZZ0AfZw&s,
9,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ94i4JcPXxQ_F2q3uwnyxv5QH2bD-MVbLw2Q&s,
10,,https://danviet.mediacdn.vn/2020/8/31/image4-1598431030-68-width605height416-1598810316509-15988103165132025318295.png,
11,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTn8zr-rP7a40dC1dod2vMy99HwQrswDml7Xg&s,
12,,https://cdn-i.vtcnews.vn/resize/th/upload/2023/09/09/comrang-23441792.jpg,
13,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRstl0C3_j0G3TkWBhuTs0-OZxtOUazuTDGWw&s,
14,,https://file.thanhtravietnam.vn/data/old_img/Uploaded/dotuanh/thang11/1353723076-com-rang-thap-cam1.jpg,
15,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrPU0N_QKNcgG7lptpJTYoKbZx4PW3QkwpAw&s,
16,,https://i.ytimg.com/vi/RvMbuuWZILc/maxresdefault.jpg,
17,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYNy4PZ_sSwPnEbCi9Xr3GXlWMhpiDUMbfvQ&s,
18,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyZ4JntZ5puqP6jFecsax-OuaoTbiPKIwDCg&s,
19,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwE3JNVO2ueoc2g_MnhAyOk8opJu6n6SB8_g&s,
20,,https://i.pinimg.com/474x/c8/9b/36/c89b36bc5691b31a7d8caa5c78b423ad.jpg,
21,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrd6Khk0eXUCnvdLNEHDoDKZaTSXD2kR6sAg&s,
22,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQq_sAC6Gr79TyNMLRoAF2HxW0cgXYNcWqt7w&s,
23,,https://danviet.mediacdn.vn/zoom/700_438/296231569849192448/2022/9/23/rang-com-bang-noi-chien-khong-dau-09403984-1663632259281-1663632259390921977503-1663877875432-1663877875540976453308-0-0-450-720-crop-16638781587551585487027.jpg,
24,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCMY2CcBpdy6vi-sLORv5393cSwEBNz4xv7w&s,
25,,https://buffetposeidon.com/storage/app/media/Nau-an/01.2024/03032024-com-rang-01.jpg,
26,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5pWRFJ5RJkHsfaRFYX6MwKMzdoROPk3gnfA&s,
27,,https://chefdzung.com.vn/uploads/images/ngoc-linh/com-rang-hai-san.jpg,
28,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmnUBU_HkNM7Km4AkASdTWdSTcZsj4ifrR2Q&s,
29,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRN_S4bkPymmP9a-hiNGpWnCZdG9qbWi91LGA&s,
30,,https://giadinh.mediacdn.vn/296230595582509056/2022/10/3/cach-lam-com-rang-dua-bo-1-1664812265055-16648122652121664517376.jpg,
31,,https://bizweb.dktcdn.net/100/201/278/articles/39-anhbia.jpg?v=1511763740217,
32,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxMZCutLF0FQjL2ePhyf2JD657XNrfEXZGJw&s,
33,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVzgFQQ3K_qKgdmUd5xOt7MMGk1GPChIHWHQ&s,
34,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSid8yJKqn_RswrTp1Y9768u_oVDTnhUpbGsg&s,
35,,https://imgs.vietnamnet.vn/Images/2017/10/10/12/20171010123453-com-rang-ngon.jpg,
