No.,Image,Url,Description
1,,https://bakes-saigon.com/cdn/shop/files/PLAINCROISSANT_01.jpg?v=1707326544,
2,,https://maisonmarou.com/wp-content/uploads/2022/01/croissant-scaled.jpg,
3,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4h_w65QZwJC7q9r5vbx3wXp3nxjTbqIEGdQ&s,
4,,https://i.pinimg.com/474x/fe/ae/3d/feae3d28f8a7ccadf6c8006c823c7d2f.jpg,
5,,https://sarahsvegankitchen.b-cdn.net/wp-content/uploads/2024/05/Vegan-Croissants-1.jpg,
6,,https://www.delifrance.com/media/catalog/product/cache/a2b5c37732c9b5ce289563642b3b2aeb/1/9/19477_1.jpg,
7,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAo7-e2nYWSgIYlmL09TLUg82F3BXwoV56MA&s,
8,,https://thecepastry.com/wp-content/uploads/2023/09/Croissant-Almond3.jpg,
9,,https://bizweb.dktcdn.net/100/438/465/files/croissant-sapo-bakery.jpg?v=1663636679579,
10,,https://i.ex-cdn.com/vntravellive.com/files/content/2024/03/15/croissant-1707.jpeg,
11,,https://i.pinimg.com/474x/46/f0/87/46f087bfcf58209e7442ecf5b940a50d.jpg,
12,,https://i.pinimg.com/474x/95/98/17/9598179ccf59c637f3c97424dd10744a.jpg,
13,,https://i.pinimg.com/474x/36/71/b1/3671b1b87923edfee21c694c732a161b.jpg,
14,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRi8MQQDDpCqS7i_fBbZsfOGKEPukqKvGnraA&s,
15,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLxKBn4gtSp-S0vHZlJClT0y_dBXOJGZPnkw&s,
16,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUY08zwYC0cKZy_ysVoWQQwB0PzX-ou5aeXA&s,
17,,https://www.lantmannenunibake.com/contentassets/b4117b29da114cfa9342524b079b7fdb/17905000_butter_croissant_srgb.jpg,
18,,https://i.pinimg.com/474x/00/03/c4/0003c4e332141597d72c213d90c3efcf.jpg,
19,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiH5YyxA4qCkb_VMLISat4tM_Uf0kYJKvXoQ&s,
20,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBXywFbfQytzyyYY47WTLzOs9xwlB-c8W59g&s,
21,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4ufbel1Y9kPVQ1wjTsoKrSW8qSbVg_9k5fg&s,
22,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThcvJi1T1XfQt8r5tPjoWcw93RIKaivXDtbg&s,
23,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFFi-I4C3bf6rlYmyUATuXou5cgOqz8Mq8rQ&s,
24,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1JpQ_FyDZWxLN9c2GegTihr_ERd490oSmpQ&s,
25,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5NbmPIEqOa-6lkgwsnWvkih-FINmZeb3Mrw&s,
26,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPmtMeqG2kzy8LW0bbE6XZCnvH0168WW5gsA&s,
27,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtTk19SgyBdXKVbWhk8CoYh-zFxYu-OIwqBw&s,
28,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkYqLwewLop2Nl_zVvyxpTQeCKlBSrUGrfmQ&s,
29,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToeIzFoz3-GAK7ZQ9Gl0mFyPf-3-mMM6ubTg&s,
30,,https://product.hstatic.net/200000411281/product/thiet_ke_khong_ten__13__ecd4e91f1eaf4643980fc43cb24c9e2b_master.jpg,
31,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkKcTTGOo9SHmxeB9sOT2FW3sVtLZtGZNhRg&s,
32,,https://masabakery.in/cdn/shop/files/Croissant-min.jpg?v=1690781324,
33,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNG6KtGEf4WC8B-GE5YtResm81uftg_tBMBg&s,
34,,https://img.delicious.com.au/RzgR3kXD/w1200/del/2015/12/cornetti-italian-croissants-24713-1.jpg,
35,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqbHu3ZgG1beWsPNzG1KsJ_KjL_SweE3J6lQ&s,
36,,https://bizweb.dktcdn.net/100/438/465/files/croissant-sapo.jpg?v=1663636738439,
37,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbOTuCBtx6C5j4DkMqDAjT9UpBsW-dBB5_xQ&s,
38,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQajMeM8o5cu1DQ5Jx1JWgHLCc01FkDC2SfSQ&s,
39,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBLQLZ8fkBz567gtuV_nfEfoy339ZUQbkXcg&s,
40,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVYavAOMvJxie03WW2vBYrfkXyxnOZ3K1XRw&s,
41,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT39-IodHa_xcamWx037vVbhMC3St-2gYSQxg&s,
42,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ5p6XuzHpU5yiZJOk-EiUIxQxkAY5y4HrFLw&s,
43,,https://i.pinimg.com/474x/db/05/de/db05de3ec2236dc401419652e2ae2a5a.jpg,
44,,https://www.diplomacyandcommerce.rs/wp-content/uploads/2021/01/French-Croissants-SM-2363.jpg,
45,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRyC4TTBjIWCsBvx8xvTq5yCM6Wa2BbHnEkA&s,
46,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSO7fPi7Qzzt1yTqxKiFxZZv_99cZSrpq6vUQ&s,
47,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEWKlEpLWVk0IxfQO65lJPC2dipBvrdNoXpA&s,
48,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaiX6lltHvFRx2WWdcoOT7z-117jWY65nbcg&s,
49,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRb_SzwTXTFNWqxLOzK-RKeYwXhyAVmcHgcmQ&s,
50,,https://i0.wp.com/www.pardonyourfrench.com/wp-content/uploads/2023/04/French-Almond-Croissants-Bakery-Style-8.jpg?fit=801%2C1200&ssl=1&w=640,
51,,https://dungculambanh.com.vn/wp-content/uploads/2023/03/banh-croissant.jpg,
52,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuGl5qffFQWlPhLoXZfYSboEJGl5kxPNCvXg&s,
53,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQCXqAyWMV_Ln_aqZ7RmFKQjHgjep-FXqMqA&s,
54,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2YJ2zN0gnxKLIoh1nPCuIEweoyEdIVEZXLw&s,
55,,https://residence.yamazaki.vn/wp-content/uploads/2023/10/Supreme-Croissant.jpg,
56,,https://lapazfoods.vn/wp-content/uploads/2023/12/fresh-croissant-buns-wooden-board-scaled.jpg,
57,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSH7WH5osVaSh4AP39m3MSyuiUDvqm5hd24aQ&s,
58,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVDXoqIzcvMtxKQTH2Ci9_WUjs1D7oIkVWTQ&s,
59,,https://static.hawonkoo.vn/hwks1/images/2023/08/cach-lam-banh-croissant-bang-noi-chien-khong-dau-3.jpg,
60,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7RNEO180oBvMT9dhU9dApgc5DUxnDeVl92Q&s,
61,,https://product.hstatic.net/1000075078/product/croissant-trung-muoi_880850_6977b1bf2a6340d6923df745e529215b.jpg,
62,,https://daylambanh.edu.vn/wp-content/uploads/2019/04/banh-croissant-pho-mai-600x400.jpg,
63,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTg1M7ZotULtRu6dLRHlkwsNavhcJAYsoLBjQ&s,
64,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRt3YavXNgoiaHPTxAb2nELx4AzbIxusmGskw&s,
65,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTk5fXCi7wN6VEnrNRwJZyL2045FBsiyHdSsg&s,
66,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMR0viPtlekyQqXNVGS_5eEV_4dsbLVDUpDA&s,
