No.,Image,Url,Description
1,,https://bazaarvietnam.vn/wp-content/uploads/2022/07/harper-bazaar-goi-cuon-bao-nhieu-calo-bar-the-spruce-eats-scaled-e1657201842851.jpeg,
2,,https://i.pinimg.com/474x/cc/e8/d6/cce8d6e80a92b104586e48a209500142.jpg,
3,,https://sepabayo.com/wp-content/uploads/2021/08/1_XLDN.jpg,
4,,https://icdn.one/upload/2021/03/23/20210323222548-851998b6.jpg,
5,,https://cdn.tgdd.vn/2021/08/CookProduct/z262692910475431f8fbc533ea57bff69e5e86a005e04a1200-1200x676.jpg,
6,,https://i.ytimg.com/vi/3mAwGlLSN0U/maxresdefault.jpg,
7,,https://tapchinhabep.net/wp-content/uploads/2019/09/IMG_4295.jpg,
8,,https://cdn.tgdd.vn/2020/11/CookRecipe/Avatar/goi-cuon-thit-ga-don-gian-thumbnail.jpg,
9,,https://spk.vn/wp-content/uploads/2021/04/goi-cuon-mon-ngon-hap-dan-khong-the-bo-qua-goi-cuon-ngon-1.jpg,
10,,https://i.pinimg.com/474x/1c/bf/a3/1cbfa3f3eea94f6b4340fed533b84285.jpg,
11,,https://i.pinimg.com/474x/e5/4a/c5/e54ac501f082d7b26c333d2726f2c2db.jpg,"Gỏi Cuốn (Vietnamese Rice Paper Rolls)
Nguyên liệu
Thịt
• 1 kg Pork belly
Hải sản
• 1 kg Prawns, fresh
Nguyên liệu
• 1 Bean sprouts
• 1 Lettuce
• 1 Perilla, Purple Green
• 1 Thai basil
Mì ống và ngũ cốc
• 1 Rice noodles, thin
• 1 packet Rice paper
Bột nướng & gia vị
• 1 Garlic chives
https://www.wokandkin.com/vietnamese-rice-paper-rolls-goi-cuon/"
12,,https://img.tastykitchen.vn/2021/06/03/1-d6ec.png,
13,,https://digifood.vn/blog/wp-content/uploads/2021/08/goi-cuon-tom-thit-ha-noi-1.jpg,
14,,https://icdn.one/upload/2020/11/13/20201113072505-3430f86f.jpg,
15,,https://cdn.tgdd.vn/2021/08/CookProduct/BeFunky-collage(28)-1200x676-1.jpg,
16,,https://daotaobeptruong.vn/wp-content/uploads/2020/04/goi-cuon-ngon.jpg,
17,,https://canthomekongtour.com/static/media/M%C3%93N%20%C4%82N%20NGON%20VN/gi-cun290220.jpg,
18,,https://i.pinimg.com/474x/6e/06/fe/6e06fe0a41b99505ebd6eec9175251f8.jpg,"Nguyên liệu:
• Bột gạo (Pha tỉ lệ :1 bột :2 nước)
•  Hành phi
• Tương hột xay
• Các gia vị thông thường: đường, tiêu, tỏi băm, sả băm, muối, bột ngọt, mè răng, ớt băm, hành phi,…
• Thịt bò cắt lát (Các bạn để trong ngăn đá để giúp thịt bò đỏ và mềm)
• Rau salad
• Dụng cụ tráng bánh.
• Các bạn có thể mua bánh phở và bánh tráng bên ngoài đã làm sẵn thay cho việc tự chế biến bánh phở tại nhà."
19,,https://assets.grab.com/wp-content/uploads/sites/11/2019/09/25114908/kaiwaii.food_67277646_386402125348326_1540538584472026412_n.jpg,
20,,https://i.pinimg.com/474x/ae/ff/bb/aeffbb662a414285bd6a9fb270215549.jpg,
21,,https://bepxua.vn/wp-content/uploads/2020/07/goi-cuon-fb.jpg,
22,,https://www.lorca.vn/wp-content/uploads/2022/08/Vietnamese_Non_Fried_Spring_Roll_Recipe-1.jpg,
