No.,Image,Url,Description
1,,https://www.thespruceeats.com/thmb/ao7czXh1afSBamtQnDUilsLD3uc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/doner-kebab-recipe-4171703-hero-01-c14d8b7189df4685a50bae311317f831.jpg,
2,,https://vcdn1-dulich.vnecdn.net/2022/01/06/1-7777-1627308710-4623-1641463984.jpg?w=460&h=0&q=100&dpr=2&fit=crop&s=hbFhdv45lYUJmHZ0OtBTsw,
3,,https://i.pinimg.com/474x/d6/46/0d/d6460ddc077042ec8090de032354b768.jpg,
4,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJy5Thk98jgHaC9u9M_M0B-m9LOGOSRwPkxQ&s,
5,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4S-JWWcpbGflkBSTL_NiwrxLmJG4bOgNalA&s,
6,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1AOzDSXt_YV9Cy0C-M8fskiBhwwAIGj7TqA&s,
7,,https://www.jocooks.com/wp-content/uploads/2023/04/chicken-doner-kebab-1-500x500.jpg,
8,,https://vcdn1-dulich.vnecdn.net/2021/07/26/3-1627308651-3150-1627308710.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=-9tauOCZMaWE-cVy4JEnNw,
9,,https://i.pinimg.com/474x/74/ca/6f/74ca6fee6cbcddb1557f5928f0c50f13.jpg,
10,,https://i.pinimg.com/474x/e0/7c/9d/e07c9d5bb0ed65b5f4d185679ef3b948.jpg,
11,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcUaj9xCtwkTn9hbDp7kZn8wFMk9dwTTb_PA&s,
12,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdrhFe0SDxQnAD-HxexPPW4YQj8hDL2QSXGA&s,
13,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCSaiHwqsaTkXpi-w4P2U65cL4oa8NflqV1A&s,
14,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPmuz2tyLS-PdEvCfsqGkpIFAjxrRuq8cvfw&s,
15,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7kiXNMluy2GWNTPoW_0yutvDmhbY_z9jUyw&s,
16,,https://i.pinimg.com/474x/be/c8/6b/bec86b48432c638e5589ef06c5583d15.jpg,
17,,https://i.pinimg.com/474x/03/48/a6/0348a61190f963687f7d8e9e3a6068e1.jpg,
18,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4x2UallyXc7DMMtnpuebJOolatH1lhl5Z_w&s,
19,,https://i.pinimg.com/474x/cd/0a/b0/cd0ab05c843e5b87a618417669b9ea4f.jpg,
20,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS85aVEAMrS0EsdgmaDYifi6S3D2GFU5XaXow&s,
21,,https://i.pinimg.com/474x/2f/54/bb/2f54bb439597558b46b049ba06219a4c.jpg,
22,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOc6TUmjKcpRrkQlqZl4geU1uoOpO99S9QPw&s,
23,,https://biancazapatka.com/wp-content/uploads/2024/02/veganer-doener-kebab-728x1019.jpg,
24,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYHk5lpr_dPPdSs8aVpO5OPS0Iiflx2uPPXA&s,
25,,https://img.taste.com.au/tO2owR2D/w1200-h630-cfill/taste/2010/01/home-style-doner-kebab-187313-2.jpg,
26,,https://i.pinimg.com/474x/75/b0/e7/75b0e779e6103ced64ca0e4ad8da841d.jpg,
27,,https://b622708.smushcdn.com/622708/wp-content/uploads/2016/01/Fakeaway-slow-cooker-doner-kebab..jpg?lossy=2&strip=1&webp=1,
28,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQt7qGjfFujd4mQbiupdtR2SRILO7vTAQepGA&s,
29,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQS2P6biU9wky5PASwWSMH6QUMFeUw20qB1oQ&s,
30,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3Zr3E177qDcTsXW0VsIo5BsC_LW7gtEpnOg&s,
