No.,Image,Url,Description
1,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnFUOEtsxlztUGmt-J2O0DrzUD-aS7QRGBug&s,
2,,https://www.simplyrecipes.com/thmb/5J_y9G2B9HG8GUauhVRYXNgsmYg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__simply_recipes__uploads__2007__04__honey-glazed-roast-chicken-vertical-a-1728-600993beb92f4deaae4667c940305a3e.jpg,
3,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSH0MrDsVBYh1BOpLAtoxsSLOz9vnNOjKtyRA&s,
4,,https://www.allrecipes.com/thmb/WSSoRAz2IygrMPkiJxHPbt9gqMg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8635-southern-fried-chicken-ddmfs_4x3-90736ab31a7a4bb59eb04e2380ccebe7.jpg,
5,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnC3jn6gtz563hLrc_VLdw8BQECAUqggYLKQ&s,
6,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWi3BNk-zyPgiGootJmFrqbLQAGFCsrp-eEw&s,
7,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrtorCN7KNC6LTXyfw6Zn73kOda_AvCw8maA&s,
8,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmtRkK2ZCatev9bKShv7y868a8nwzAsrwm3A&s,
9,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSq8EXnbwgBaNe2P7_0W1-NXmKn7ZrO8VMDRg&s,
10,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQe3hU_tsjbhnVNunRKeBN18EAmoCKDF4clBQ&s,
11,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBc7TIfriWJy2Bq7rulW1mReWjepqkM1MROw&s,
12,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXIC2KEYs6YvIqLApS4xCMDI4Rxc5jHK2C5A&s,
13,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpRYKDFRussa8E3UGK4N4n3ljHnskZZtfsng&s,
14,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSutPCM3v8AifqI3uf3tlEXaSJyygsh3T-JIA&s,
15,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS50_Eyydtsc-SV_9sMyt6qeIiyBV4Ab3hd2g&s,
16,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8H8lm4IaxnViFo5H2JvgLD73PacrjPlrhvA&s,
17,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCjL78FLV0ZaztbAyQERDUq9NjKJ7ab2Mflg&s,
18,,https://www.seriouseats.com/thmb/xw1krLC9Yh85qx1wl5jw0BPCWHk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__2015__07__20210324-SouthernFriedChicken-Andrew-Janjigian-21-cea1fe39234844638018b15259cabdc2.jpg,
19,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThxVkKk_oPaOpAjs4usG8hYFSDhqsuT9K-pA&s,
20,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTocyuM_QxR2g5VftWxiwks0D-HJ-7v241QDA&s,
21,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTP8sjX27D_mLjH8CbaF-e3ZBS4WR2sl9mswQ&s,
22,,https://www.inspiredtaste.net/wp-content/uploads/2023/08/Simple-Whole-Roasted-Recipe-Video.jpg,
23,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0y43Ri4rhL51uGNMSb7KwJZ23pMO2FktB_A&s,
24,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5rkL0MFT5Jx4mWoxCdjUM4pqf_iou_oEJGQ&s,
25,,https://images.kitchenstories.io/wagtailOriginalImages/R13-chicken-wings-title-photo.jpg,
26,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0bKDfaP5V1rXa3T2YHMj-Fub_TTyjnanfRQ&s,
27,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTl2oppbLPZ1PS4lumdCbW6LNxfCHzHujfPRA&s,
28,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9wG2hgrNyg9AFpeunovh-mPRJV9AmvDpwDw&s,
29,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQPdaCbWCb4vpyiZ3OE0sJudZUWACyclNO-g&s,
30,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpzTdo5nCYQ-GGddPUT33c-_7l3nGE681w_Q&s,
31,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBtyebXP2FFs7QLc7XH21y1VTwA5ZGCDwvjA&s,
32,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOeA-zREeX-kr8k8oXxQ6OFXUVT2Pwqjz2Bw&s,
33,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTw3nBfAcJ7YxwH2oPUJTGIpipJO47rIEXJSQ&s,
34,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcLqSG2NtGG7eP68SDTVR0uXITLdl0N-G8IQ&s,
35,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-Y3_BtO3A7-Ciwz-5YZRAk8iukCP6roQWow&s,
36,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSj0j8uUAak4C8Jrxi0E4bzi6E1UzTJb6ho5w&s,
37,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTlGogM1zv7WohBWOuxIiRzDXzmKMK9vVcpg&s,
38,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSrOUgfum3eN-iuv0vtBrpao9D6BF2ULKBNg&s,
39,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSa4dUB8VSIOhwnlLtIe0nhffwRTRrupXR5Uw&s,
40,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ34iHJLR01uSCcrRSv82_LGnVv104kuqVRyg&s,
41,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRrpX8Xy3C-yoDnNM3j427rdLFw4Xq1gXtNg&s,
42,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8a7K7ppn2NpqDaTrJWyZkY3eSb_46POESOw&s,
43,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTNVgstwsDkEqrpTnVGn3csoyAtAWMLu5hGQ&s,
44,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMXler3VOSS6CCb4s4nU4KTBUdhJ7ZWh9QAw&s,
45,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFyd6TouOJYK3PYdpf4BIpMnE7dJzhya16xg&s,
46,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlBPIygRr-ac9_mLex3W5MY9TkmvBwtpxypQ&s,
47,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTF5mr0zzP5nIlVBmbgWtCjuojqq1Qu3rEoZA&s,
48,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrYR1UTiZ3QRm8oR_bQTnH3GFVgJBUCZtVRw&s,
49,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQu8Ks0uZoO8MEr6OfUCImEaRPsqUG15LAvrQ&s,
50,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8URnD_TujLyZHK3-cFUcvqT3DYnurRk5HPQ&s,
51,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNENrPOJYcTIBINQpZjtWEHFC4hBGxmZY2oA&s,
52,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4UMblDX0B3w9-M65ptgpAQmjaUkjJk21JvQ&s,
53,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbLq5Tq5O8k2OclKPIczM7m_sRKOATUV2BLA&s,
54,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfn8wsCEPc5IFaocCf7LnbgX_e9hGb87XJXQ&s,
55,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuBxna1sHl0cHbsZkVSn3iOKVXgQ-8F1hPng&s,
56,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJ44f8iy93_r3BoACfevZoC-2nYclnyW92_A&s,
57,,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/slow-cooker-roast-chicken-792078f.jpg,
58,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_x0I1lRbLr2RnX7ra1F5IXGQVSuueNEkBmQ&s,
59,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSMJjGh0PGORQonNBIIbo6FH6X9WceIbNi0w&s,
60,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKDte7FyboQYqzgH4VPUJ6541kqNb7Cw8NZw&s,
61,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQw58llY2ka5zrSHnEu621SGifpd19rw-aWMw&s,
62,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDCKI00lCroOKHPMR0u9Q7HyGPgId71HhVtg&s,
63,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyE4pIPPP2UUDwX-CZZhdfm9_56dVdDoT4Vg&s,
64,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ551Htwc4b1Q7SG00fcVw3XCwkB1Gn8wrOxQ&s,
65,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFp-OYJGDiNjF7RuIt2jfJnA3YiFcaYnnUhw&s,
66,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRoGI-zZOfuZ9RZbvOAVYotxo2n-pF7w6MWg&s,
