No.,Image,Url,Description
1,,https://i.pinimg.com/474x/75/9e/a0/759ea058f69c825c077e1ed3c7975fd1.jpg,Chinese food｜hotpot｜huoguo
2,,https://www.cet.edu.vn/wp-content/uploads/2018/03/hinh-anh-lau-thai-chua-cay.jpg,
3,,https://cookbeo.com/media/2020/09/lau-thai-thap-cam/nguyen-lieu-nau-lau-thai-thap-cam.jpg,
4,,https://i.pinimg.com/474x/c0/cb/e5/c0cbe5b5e0215d803927496bc11f9bf0.jpg,
5,,https://cookbeo.com/media/2020/09/lau-thai-thap-cam/lau-thai-thap-cam.jpg,
6,,https://digiticket.vn/blog/wp-content/uploads/2021/05/set-an-198k-1920x1280.jpg,
7,,https://static.vinwonders.com/production/lau-thai-ngon-ha-noi-banner.jpg,
8,,https://www.monngon.tv/uploads/images/images/cach-nau-lau-thai-chua-cay-1.jpg,
9,,https://nghebep.com/wp-content/uploads/2020/10/lau-thai.jpg,
10,,https://cdn.tgdd.vn/Files/2019/07/26/1181815/lau-thai-hai-san-chua-chua-cay-cay-danh-bay-cai-lanh-202111161130260017.jpg,
11,,https://syphu.com.vn/wp-content/uploads/2022/07/lau-thai-hai-san-231695.jpg,
12,,https://www.hwcmagazine.com/wp-content/uploads/2018/10/Thai-Hot-Pot-3-2.jpg,
13,,http://static1.squarespace.com/static/52d3fafee4b03c7eaedee15f/52e0e543e4b01d267dbce396/6209685797c817535f7b3933/1645811215186/after-7576.jpg,
14,,https://i.pinimg.com/originals/5f/b1/f3/5fb1f380d0d7253cb4329d00a2668454.jpg,
15,,https://i.pinimg.com/originals/ef/fc/4e/effc4e669656822e882ecb88baf228f0.jpg,
16,,https://i.pinimg.com/474x/68/99/d5/6899d543b9a1d77339f3959393330208.jpg,
17,,https://i.pinimg.com/474x/5b/7d/b3/5b7db32c22710514cda0790db8530f25.jpg,
18,,https://www.hwcmagazine.com/wp-content/uploads/2018/10/Thai-Hot-Pot-8.jpg,
19,,https://m.media-amazon.com/images/I/51O4ZRHPV1L.jpg,
20,,https://2.bp.blogspot.com/-UDUYgtY9s3Q/W0qXB46BUUI/AAAAAAAAApg/_2NE1nh6bPoJNf9je1QWZ5A0q9pKuI1GwCLcBGAs/s1600/IMG_20171015_194901_wm.jpg,
21,,https://www.hwcmagazine.com/wp-content/uploads/2018/10/Thai-Hot-Pot-5.jpg,
22,,https://cdn.tgdd.vn/2020/09/CookProduct/Cach-nau-Lau-Thai-ngon-va-Nuoc-lau-thai-dac-biet--How-to-cook-Thai-hotpot-0-43-screenshot-1200x675.jpg,
23,,https://haisansongngu.com.vn/wp-content/uploads/2020/10/Set-lau-Thai-hai-san.jpg,
24,,https://helenrecipes.com/wp-content/uploads/2013/09/P1090536.jpg,
25,,https://lh3.googleusercontent.com/tjthBK63tSyrgZDyoaZLtVc09VGW4Eeb7f3TPFsiMNmK7BuZ2cq804j_AKW2qGzdTknAXmrXbzkOq_i2kAkf3w=w1200-h630-pp-rj-v1-e365,
26,,https://i.pinimg.com/736x/c7/08/1b/c7081b5e1207cd594281bea2464aa75a.jpg,
27,,https://www.hwcmagazine.com/wp-content/uploads/2018/10/Thai-Hot-Pot-4.jpg,
28,,https://www.foodiecrush.com/wp-content/uploads/2018/02/Asian-Red-Curry-Hot-Pot-foodiecrush.com-066.jpg,
29,,https://i.ytimg.com/vi/2yvvR5wng6g/maxresdefault.jpg,
30,,https://s3-media3.fl.yelpcdn.com/bphoto/a3xDtkqqz0SXQUSHocywOw/o.jpg,
31,,https://cdn.nguyenkimmall.com/images/detailed/746/cach-nau-lau-thai-chua-cay-tron-vi-thumbnail.jpg,
32,,https://i.pinimg.com/474x/f3/5a/4f/f35a4fff4e7e74039997734bd8254a89.jpg,
33,,https://i.pinimg.com/474x/87/bc/76/87bc76baf07ccad02dfaca6904f0aba9.jpg,
34,,https://i.pinimg.com/564x/04/04/9b/04049b861f36b03eea336f59fd523fa9.jpg,
35,,https://i.pinimg.com/474x/5f/b8/29/5fb8291b1f919361b734f507397da675.jpg,
36,,https://i.ytimg.com/vi/p1ejp7z4mc4/hqdefault.jpg,
37,,https://i.ytimg.com/vi/jb0DiBpXQUo/maxresdefault.jpg,
38,,https://i.pinimg.com/474x/b0/56/be/b056be06710a9c1b26804a24e7b530fb.jpg,
39,,https://i.pinimg.com/236x/6b/91/2f/6b912f808e245e96ac9b123401df73d1.jpg,
40,,https://i.pinimg.com/474x/23/9a/38/239a381a5e5121b680acf81201c1621f.jpg,
41,,https://asianinspirations.com.au/wp-content/uploads/2018/08/R01292_Viet-TomYum-HotPot-Lau-Thai-1024x683.jpg,
42,,https://c1.staticflickr.com/1/325/32220234001_53f439886a_b.jpg,
43,,https://unimall.vn/storage/uploads/lau-thai-1637739677.jpg,
44,,https://truffle-assets.tastemadecontent.net/675d0e07-thai-bbq-hot-pot_thumbnail-l.jpg,
