No.,Image,Url,Description
1,,https://tse1.mm.bing.net/th?id=OIP.DoFZGhoqL01JpPg-kH0c-gHaFR,
2,,https://tse4.mm.bing.net/th?id=OIP.t_MHKgge5Cp0yAXmPyZ9YgHaE8,
3,,https://tse1.mm.bing.net/th?id=OIP.5Z9xNrdj8Wq0vNlgmn5TPwHaFi,
4,,https://tse1.mm.bing.net/th?id=OIP.sb5WSxLBLR1sJAlSy0b49AHaFJ,
5,,https://tse1.mm.bing.net/th?id=OIP.hyfAN7FIvtg7lmN6Z-Yz5QHaEK,
6,,https://tse2.mm.bing.net/th?id=OIP.7Ki9cgy6yEcjHYiX-pkC5AHaEn,
7,,https://tse1.mm.bing.net/th?id=OIP.iNxeN6ZplKFDFzjN_x3xYQHaEK,
8,,https://tse1.mm.bing.net/th?id=OIP.b1OUUsYN5zIrdcm4GaiD9QHaFD,
9,,https://tse1.mm.bing.net/th?id=OIP.j_ntDaBYCQFjyPwD_fRPvQHaEK,
10,,https://i.pinimg.com/474x/e1/75/bf/e175bf075d3477bab7a96e7f6dc27741.jpg,
11,,https://tse4.mm.bing.net/th?id=OIP.KQuXPD1q5UTKkCFMX7dXEgHaG1,
12,,https://tse1.mm.bing.net/th?id=OIP.4tgxWRhaxjtQseTi1U2rGgHaE7,
13,,https://tse3.mm.bing.net/th?id=OIP.I-JLQ0uR2QuouUPxqFv32gAAAA,
14,,https://i.pinimg.com/474x/0f/c9/83/0fc9839d56d6fcc441e7f3b4b334daba.jpg,
15,,https://tse4.mm.bing.net/th?id=OIP.oRKLSBSczHOeo9JDA4vr6gHaHa,
16,,https://tse4.mm.bing.net/th?id=OIP.MrRcWF9Afa6U0wWZeCZBcwHaHa,
17,,https://tse3.mm.bing.net/th?id=OIP.JlZFiGD49S9bTUAaRk9isQHaFj,
18,,https://tse3.mm.bing.net/th?id=OIP.ZsBoVznrnuuIqlbb9jeSXAHaHa,
19,,https://tse1.mm.bing.net/th?id=OIP.sB5hHYlBsNENc56YNeSYLgHaEL,
20,,https://tse1.mm.bing.net/th?id=OIP.aypr22GxXBFhQMQ_sa26_QHaEU,
21,,https://tse3.mm.bing.net/th?id=OIP.YrPHLIWQToIkonIbZrGfXAHaFj,
22,,https://tse2.mm.bing.net/th?id=OIP.W5A4Ed4PZqSINujxLHn2ngHaHg,
23,,https://tse3.mm.bing.net/th?id=OIP.jvCr-wzImX75YL4QAY55RQHaHa,
24,,https://tse3.mm.bing.net/th?id=OIP.I_O0jUS4dyiqg34lQ0wOEwHaEK,
25,,https://tse4.mm.bing.net/th?id=OIP.QE9NgEReCR0rKn0mf3jbgAHaEK,
26,,https://i.pinimg.com/474x/93/9f/2a/939f2ac24b5362a0bcfd376a982999c1.jpg,
27,,https://i.pinimg.com/474x/6f/a7/8b/6fa78bd8418cf2edc711fa32906cd1f5.jpg,
28,,https://tse4.mm.bing.net/th?id=OIP.a-JFKzczat2gfKOgO_PZYwHaFW,
29,,https://i.pinimg.com/474x/83/f4/33/83f433d17190f5faae096bfc276eba68.jpg,
30,,https://tse3.mm.bing.net/th?id=OIP.qR8_jnX4BajqZZiQcdPiygHaEH,
31,,https://tse4.mm.bing.net/th?id=OIP.qTSn7rqiTyTQoBQpgDYZ-QHaHa,
32,,https://tse1.mm.bing.net/th?id=OIP.d_-khSPPZAdmAnw2yJeHMQAAAA,
33,,https://tse2.mm.bing.net/th?id=OIP.f5NscpjZROI96V6nwjjBsQHaE8,
34,,https://tse3.mm.bing.net/th?id=OIP.mWFxoipl4E1jIHwrbK1jiwHaHa,
35,,https://tse2.mm.bing.net/th?id=OIP.DTHixJES2NFOPnGpYgdPGgHaFu,
36,,https://i.pinimg.com/474x/61/3e/97/613e97c6e51286ec07a796be1695c745.jpg,
37,,https://tse3.mm.bing.net/th?id=OIP.ygw-bgoNKyIkohdAz50-xwHaEK,
38,,https://tse4.mm.bing.net/th?id=OIP.IMsjjTSFM8zslgjRCnWTxwHaEo,
39,,https://tse1.mm.bing.net/th?id=OIP.q_EH14VtrSTIyvRMzs_esAHaFj,
40,,https://tse1.mm.bing.net/th?id=OIP.XUA5gs8X__Y-HTg3Zgf_7QHaFP,
41,,https://tse1.mm.bing.net/th?id=OIP.-6WdLr6BQEbtpSFJHv16oQHaEx,
42,,https://tse2.mm.bing.net/th?id=OIP.OPzH-K8oK4pB8zSvJJWmIAHaE7,
43,,https://i.pinimg.com/474x/f4/aa/ed/f4aaed6390b425e0e3585d362c1bf3c6.jpg,
44,,https://i.pinimg.com/474x/10/7c/3b/107c3b3efdefcc9cf664884c1c2912ba.jpg,
45,,https://tse1.mm.bing.net/th?id=OIP.cPXRRJ4sFhwSyKZK5_tswgHaHa,
46,,https://tse2.mm.bing.net/th?id=OIP.1lYOnIgAa5QJn24d6rRGIgHaDh,
47,,https://i.pinimg.com/474x/89/ca/99/89ca99af9b96ff3a3c3f104112c16ef1.jpg,
48,,https://i.pinimg.com/474x/21/9f/59/219f59384d88c5708231eae60f3b33c1.jpg,
49,,https://i.pinimg.com/474x/ba/0c/f5/ba0cf591805d97f37754cf4153f23b98.jpg,
50,,https://i.pinimg.com/474x/d1/39/ea/d139eaf0f02289c8a1a228a90b7f358f.jpg,
51,,https://i.pinimg.com/474x/89/f0/6d/89f06de3ab99e66fb354daf048a9b20d.jpg,
52,,https://tse3.mm.bing.net/th?id=OIP.84yNyWN1Dm2xr61GmU3KWwHaEK,
53,,https://i.pinimg.com/474x/b7/d0/56/b7d056304702c6cc2723d0708794c18a.jpg,
54,,https://tse2.mm.bing.net/th?id=OIP.aZ6UDv8IEA_GH4EzHKTF_QD6D6,
55,,https://i.pinimg.com/474x/f4/bc/8b/f4bc8bb9734bbb9c33b84988c6879eb9.jpg,
56,,https://i.pinimg.com/474x/37/91/13/3791134c5e9cfe50ea078d860dc7fbf4.jpg,
57,,https://i.pinimg.com/474x/71/57/da/7157dac6ed6249b7450128303a56274a.jpg,
58,,https://tse1.mm.bing.net/th?id=OIP.OAGacAhKtRUV3LeDf7BGpgHaEK,
59,,https://i.pinimg.com/474x/71/57/1a/71571adc6634cc29df5767cd58585e1e.jpg,
60,,https://tse2.mm.bing.net/th?id=OIP.HYEiVMSiyMptn4sSmq8tLwHaGL,
61,,https://i.pinimg.com/474x/b8/ea/9a/b8ea9ada28290c4a1352c3fe4a563ed4.jpg,
62,,https://haisanxanh.com/uploads/images/nem-tom.jpg,
63,,http://huongsen.vn/wp-content/uploads/2017/08/nem-tom-1.jpg,
64,,https://cf.shopee.vn/file/1f973091957c15c5f71ef184048fad70,
65,,https://wikifood.vn/wp-content/uploads/2021/03/159328382_163169082304304_6802177620337078272_n-Copy-600x800.jpg,
66,,https://i.pinimg.com/474x/9a/f5/77/9af5775f4034097fae726f9d5bea856e.jpg,
67,,https://icdn.one/upload/2020/11/13/20201113061759-f9295f1c.jpg,
68,,https://i.pinimg.com/474x/36/9c/25/369c251ff4d986c7a854a84823bb3b35.jpg,
69,,https://i.ytimg.com/vi/bctsojhoDj0/maxresdefault.jpg,
70,,https://3.bp.blogspot.com/-zLUioP8_lK8/WrTezmQxQtI/AAAAAAAABhA/NlMba92sg7U0RdHUxXIQyFU_plgHeKRAgCLcBGAs/s640/nem_tom_dac_biet.jpg,
71,,https://i.pinimg.com/474x/cd/da/46/cdda463a4717426e9a1f986ae38032a8.jpg,
72,,https://i.pinimg.com/564x/91/e2/ae/91e2ae4a94859714e7e0781d8f843d97.jpg,"Nem Rán (The Authentic Spring Rolls From Hanoi, Vietnam)
Nem Rán is the Hanoi-style spring rolls, crispy outside, juicy inside. It's also gluten-free. If you are into Vietnamese cooking, this recipe is a must-try."
73,,https://i.pinimg.com/474x/95/bf/1a/95bf1a8cd68f8a78c6c2940f1cfb243a.jpg,"Nguyên liệu:
 
- Thịt nạc vai lợn 200 gr
- Miến 100 gr
- Trứng gà 3 quả
- Bánh đa nem 1 gói
- Giá đỗ
- Hành tây 1 củ
- Cà rốt 1/2 củ
- Mộc nhĩ 15 gr
- Tỏi 50 gr
- Ớt 50 gr
- Rau mùi
- Nước cốt chanh 2 muỗng cà phê
- Nước mắm 50 ml
- Gia vị thông dụng: Đường/ hạt nêm/ tiêu xay"
74,,https://huongsen.vn/wp-content/uploads/2017/08/nem-tom-2.jpg,
75,,https://i.pinimg.com/564x/07/bc/1e/07bc1e94862f0ed72c98ec4b855de4b8.jpg,
76,,https://i.pinimg.com/474x/62/f6/fe/62f6fe535cceb6066b3506f4d7a982bf.jpg,
77,,https://heyreviewfood.com/wp-content/uploads/2022/09/Nem-Ran.jpg,
78,,https://i.pinimg.com/474x/57/ed/bc/57edbcfb86ff81fa2b4b73b9d0336c85.jpg,
79,,https://i.pinimg.com/474x/63/05/c3/6305c39f034aed37a4d6e737475775be.jpg,
80,,https://i.pinimg.com/474x/49/4a/4b/494a4bbbdb656a3edfd806f7c58b0dfa.jpg,
81,,https://vtcpay.vn/blog/wp-content/uploads/2021/10/cach-lam-nem-chay-dau-xanh-rau-cu-ngon-khong-tuong-3-1.jpg,
82,,https://i.pinimg.com/474x/ea/98/c7/ea98c71c8e9b9a09922a4274902a5d58.jpg,"Nguyên liệu
Thịt
• 200 g Pork
Hải sản
• 200 g Prawns, raw
Nguyên liệu
• 1 handful Coriander
• 1 Iceberg or butter lettuce, small
• 1 Jicama, small
• 1 handful Mint, leaves
• 1 handful Perilla, leaves
• 3 Shallots, small red
• 1 handful Vietnamese mint, leaves
• 5 Wood ear mushrooms, dried
Ướp lạnh
• 1 Egg
Gia vị
• 1 tbsp Vietnamese fish sauce
Mì ống và ngũ cốc
• 50 g Bean thread noodles, dried
Bột nướng & gia vị
• 1 tsp Pepper, freshly ground
• 1 tsp Sea salt, quality
Dầu và giấm
• 1 Vegetable oil
Bánh mì và cách thức nướng
• 20 Rice paper wrappers, dried round"
83,,https://i.pinimg.com/474x/6f/53/2f/6f532faf46fa6673fd25d5d4eee1b49e.jpg,
84,,https://statics.vinpearl.com/nem-cua-be-07_1630562149.jpg,
85,,https://i.pinimg.com/474x/96/d6/ec/96d6ecdc9250d6c0008d705b12f405d7.jpg,
86,,https://live.staticflickr.com/3898/14512600854_2e71dfa408_z.jpg,
87,,https://i.pinimg.com/474x/67/dd/4b/67dd4be5d25995e3b02ba20393d6eea4.jpg,
88,,https://i.pinimg.com/474x/60/a4/04/60a4044659e5f26abe73533f64f84472.jpg,
89,,https://i.pinimg.com/474x/e2/b5/e8/e2b5e8c5071f69e8c42b659fa6384764.jpg,
90,,https://voyagebaiehalong.com/uploads/images/cach-lam-nem-cua-be-thom-ngon-gion-rum-244958-800.jpg,
91,,https://i.pinimg.com/474x/09/ac/25/09ac258305be5c65f41a11d06a3cfc0e.jpg,
92,,https://i.pinimg.com/474x/24/42/5e/24425e2b39f5b57f3af4080bc55ae667.jpg,
93,,https://i.pinimg.com/474x/67/0a/be/670abef2d652159b4b4d5b071f64a358.jpg,
94,,https://i.pinimg.com/474x/cc/48/0c/cc480c0093dc30d2400cda1d841dd007.jpg,
95,,https://i.pinimg.com/474x/67/ad/6a/67ad6a4bcf2bc4c38866bd41b06d307f.jpg,
96,,https://i.pinimg.com/474x/14/d6/8c/14d68c894686ab926d62a2d131698266.jpg,
97,,https://i.pinimg.com/474x/57/dd/3f/57dd3f1ac93407dae8c5f0b2df515c05.jpg,
98,,https://i.pinimg.com/474x/04/03/76/04037654b0ff0e41d132647f6874d11e.jpg,
99,,https://i.pinimg.com/474x/4d/1c/0c/4d1c0ce85bb71f7b08a320c6eb3c161f.jpg,
100,,https://i.pinimg.com/474x/24/15/76/241576c18091eba479bfc8b6411a45fb.jpg,
101,,https://i.pinimg.com/474x/ea/97/10/ea9710db5690423665aef619535c8a69.jpg,
102,,https://i.pinimg.com/474x/d3/b7/38/d3b738af72bb8720e70a3b1916c51e82.jpg,
103,,https://i.pinimg.com/474x/21/09/ca/2109cab9a2cd17edd673957157839be3.jpg,
104,,https://i.pinimg.com/474x/58/f0/d0/58f0d05c54ba0c6e5656ed063edef03d.jpg,
105,,https://i.pinimg.com/474x/b6/96/ac/b696ac5aa39108e99a2a7bf082dae1b5.jpg,
