No.,Image,Url,Description
1,,https://nauchuananngon.vn/wp-content/uploads/2021/08/Cach-lam-pad-thai-ngon-dung-chuan-Thai-Lan-02.jpg,
2,,https://www.cet.edu.vn/wp-content/uploads/2019/06/pad-thai-la-mon-an-noi-tieng.jpg,
3,,https://nauchuananngon.vn/wp-content/uploads/2021/08/Cach-lam-pad-thai-ngon-dung-chuan-Thai-Lan-01.jpg,
4,,https://cdn.tgdd.vn/2020/07/CookProduct/17-1200x676.jpg,
5,,https://thailansensetravel.com/view-800/at_den-thai-lan-thuong-thuc-mon-pad-thai-ngon-dung-dieu_d54e0bc5d16445fe765a68b94afe41a6.jpg,
6,,https://vcdn1-dulich.vnecdn.net/2021/07/12/pad-thai-history-5637-16260201-7934-1451-1626052343.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=QPaPCgD8CELXXTi5vVNXvQ,
7,,https://cdn.tgdd.vn/2020/09/CookProduct/PADTHAI-CachlamPHOXAOCHAYPha2kieuSaucechomonPHOXAOCHAYkieuThaibyVanhKhuyen18-15screenshot-1200x674.jpg,
8,,https://beptruong.edu.vn/wp-content/uploads/2016/01/pad-thai-la-am-thuc-thai-lan.jpg,
9,,https://i.ytimg.com/vi/ClxFuKPsY30/maxresdefault.jpg,
10,,https://daotaobeptruong.vn/wp-content/uploads/2019/07/padthai-tinh-hoa-am-thuc-Thai-lan.jpg,
11,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwazqrzzvg7t57@resize_ss640x400,
12,,https://i.ytimg.com/vi/V5gdxH7E9YQ/maxresdefault.jpg,
13,,https://vietsensetravel.com/view/at_cho-dem-lamai-va-nhung-mon-ngon-hap-dan-cua-du-lich-thai-lan_3387b0d29e655b9e13ff6ebc2f0af509.png,
14,,https://c.files.bbci.co.uk/53FA/production/_100389412_6bb11151-855e-4ba7-a097-d60a7a4e8be6.jpg,
15,,https://monngonmoingay.com/wp-content/uploads/2017/11/pad-thai-chay.jpg,
16,,https://wpg.com.vn/wp-content/uploads/2021/03/pad-thai-mon-an-truyen-thong-noi-tieng-cua-am-thuc-thai-lan-pad-thai1-1024x681-1.jpg,
17,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaHAFMc3Ru8JNujGef9QeTcBtKDm5AGCw-og&usqp=CAU,
18,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQObO5ELceKy3qH0A9pXVRN8VUDgDWXTX32Qw&usqp=CAU,
19,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMv0h7psDkR8cFNTeMTtZ4iLZz_kLI8JxNCQ&usqp=CAU,
20,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTN3wb4AmgU1zrQC_v-UAWSJ5ruhQgFYIbZfA&usqp=CAU,
21,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRod-GlxMbMSls8rczsYrQz-pgebbkXyQ0dEg&usqp=CAU,
22,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5Rs-vHdU5672St2h79SylHzk0EDKEdYnJZg&usqp=CAU,
23,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRulALEB-xrTEq3PsMoGuoSH4jnwCgW-YJ0-A&usqp=CAU,
24,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMrl0skf3UW0n9nzaI6SQ5r5nx_UHlRC0t-Q&usqp=CAU,
25,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeD5kdD6cGWmOqvcEwlDOjGKEEos0pplgFTQ&usqp=CAU,
26,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0hU03psy5WOQ818tIj0C8Fj86EFYvmBzQEQ&usqp=CAU,
27,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGl2HXr-YzqxkKuLj-9tflQTLrQoLQeT53_w&usqp=CAU,
28,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTqfGk1RRUZYgodiJIu8UM251PjhiIzr7KoA&usqp=CAU,
29,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3Mmau0x-6JdaIJXeCEr7ceVs3uvnE1bQ70Q&usqp=CAU,
30,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyRuE52LdvD7AV4Uaxdhs3ZOCrgdfSJ6SHiA&usqp=CAU,
