No.,Image,Url,Description
1,,https://admin.theadora.vn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsiZGF0YSI6MTc1MywicHVyIjoiYmxvYl9pZCJ9fQ==--7e541c599d7907ff93506cf196c9418f1b199a1d/146822291575712-phat4.jpg,
2,,https://cdnphoto.dantri.com.vn/-Bu0fDQqvj8UyGd-iSJvKcky5gQ=/zoom/1200_630/2022/10/23/phat-nhay-tuongdocx-1666537411229.jpeg,
3,,https://yumeifoods.com/upload/images/phat-nhay-tuong-1.jpg,
4,,https://cdnphoto.dantri.com.vn/tsFo-vupAklyz-IFDsDPoAGxmXA=/thumb_w/1020/2022/10/23/phat-nhay-tuongdocx-1666537410871.jpeg,
5,,https://content.pancake.vn/1/s2100x700/fwebp/de/f7/5c/c2/27173823a19871feb6bee1450b95e8eabbbe925ef001b54ef1a3c34d.jpg,
6,,https://mia.vn/media/uploads/blog-du-lich/phat-nhay-tuong-bo-duong-1707073624.jpg,
7,,https://kenh14cdn.com/2017/2-1513474523713.jpg,
8,,https://danviet.mediacdn.vn/upload/3-2016/images/2016-07-11/146822291552444-phat5.jpg,
9,,https://kenh14cdn.com/2017/5-1513474523719.jpeg,
10,,https://photo.znews.vn/w660/Uploaded/kbd_bcvi/2019_11_18/14224140MiniBuddhaJumpOverTheWall_resized_1920x1200.jpg,
11,,https://kenh14cdn.com/2017/7-1513474523723.jpg,
12,,https://cdnphoto.dantri.com.vn/zSG9IYJML7p-dvZwwSgj7kfyrj8=/thumb_w/1020/2022/10/23/phat-nhay-tuongdocx-1666537411054.jpeg,
13,,https://daynauan.info.vn/wp-content/uploads/2019/05/phat-nhay-tuong.jpg,"Món súp nổi danh của tỉnh Phúc Kiến được xem là cao lương mỹ vị thời nhà Thanh vì được chế biến từ 30 nguyên liệu khác nhau như bào ngư, vi cá, nhân sâm, sò điệp, nêm nếm với hơn 10 loại gia vị và hầm trong ít nhất 5 tiếng. Chính vì quý và đắt đỏ như thế nên Phật nhảy tường là món ăn cực kỳ bổ dưỡng. Món súp Phật nhảy tường cũng xuất hiện ở nhiều quốc gia như Anh, Hàn Quốc, Nhật Bản, Việt Nam với nhiều biến tấu khác nhau."
14,,https://mia.vn/media/uploads/blog-du-lich/phat-nhay-tuong-cach-lam-1707073624.jpg,
15,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToBdS_vl0zSHYrSxR1GZ-yTbTpMqTgXVdEcw&usqp=CAU,
16,,https://i.pinimg.com/474x/24/77/49/2477496481101661f3ddfb3616c663f3.jpg,
17,,https://i.pinimg.com/474x/b4/44/fc/b444fc0ba4ebb8116da9610564c516cf.jpg,
18,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6bwKnwKTMn8tpJY5mWhyeeE1Hr48IemBSdg&usqp=CAU,
19,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFCIcLvAe1xMVSKFU4poPsPwWnbzBEiTZ4Pg&usqp=CAU,
20,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRj499RXafWLItMuXVpojuyUnyHxzKCbro2OQ&usqp=CAU,
21,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCRO7uiCLaVK4qEcYnsVtz_8NZ29tjXH3LNg&usqp=CAU,
22,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlI0tchZ6laivl1GlLLOqkzlrCfzETP2dXCg&usqp=CAU,
23,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtwvNtM-5tQi5SBy-psjblMNlu3wJZ3skCwQ&usqp=CAU,
24,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrw8_Okq1kURCmk43c-Jvhnil9P7Zn7wl9zw&usqp=CAU,
25,,https://i.pinimg.com/474x/60/7f/be/607fbe97d6603b697b4df30820762979.jpg,
26,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMsmfBmI2jHKkD4PgoAHUymM7lUzBXY2KdHw&usqp=CAU,
27,,https://i.pinimg.com/474x/d2/0e/97/d20e97af0c14429292816969a397bee7.jpg,
28,,https://i.pinimg.com/474x/55/64/86/5564869baca555903bb69b549da830b0.jpg,
29,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZ2soSFmEodJLXIYzPOthUEcu8IosRxF5Qiw&usqp=CAU,
30,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzZnhMNnAMzCJfDuP-aYufyy0RMAmH559-5Q&usqp=CAU,
31,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSf1QzDABRJWUmN6wgXJY4Zipuo_tDvsXZKpg&usqp=CAU,
32,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2VK6r0MCw0yaDpxW4Xoxk0J9OtEKnwnvYqA&usqp=CAU,
