No.,Image,Url,Description
1,,https://tuyetthitbo.com/uploads/source/7.jpg,
2,,https://gcs.tripi.vn/public-tripi/tripi-feed/img/473913amx/canh-nau-pho-ha-noi-xua-mang-huong-vi-kinh-do-cua-80-nam-ve-truoc-1.jpg,
3,,https://ngonhanoi.com.vn/wp-content/uploads/2021/11/pho-ha-noi.jpg,
4,,https://media.vneconomy.vn/w800/images/upload/2024/01/13/phos-1920x1280.jpg,
5,,https://mia.vn/media/uploads/blog-du-lich/top-19-quan-pho-ha-noi-ngon-nuc-tieng-an-la-ghien-phan-1--1639124992.jpg,
6,,https://static.vinwonders.com/production/pho-bo-ha-noi.jpeg,
7,,https://cdn-i.vtcnews.vn/resize/th/upload/2023/04/21/top-19-quan-pho-ha-noi-ngon-nuc-tieng-an-la-ghien-phan-2-05-1639125425-23532263.jpg,
8,,https://cdn.24h.com.vn/upload/3-2020/images/2020-09-17/1600300541-photo-1-1600006283562691307317.jpg,
9,,https://static.vinwonders.com/production/pho-bo-ha-noi-1.jpg,
10,,https://i-giadinh.vnecdn.net/2021/03/07/nhngang1-1615086549-6552-1615087048.jpg,
11,,https://imgcdn.tapchicongthuong.vn/tcct-media/19/6/6/khi-nao-an-pho-ngon-nhat.jpg,
12,,https://image.baophapluat.vn/w840/Uploaded/2024/hfobhvwbucqaow/2022_10_19/pho-8658.jpg,
13,,https://mayviendong.vn/wp-content/uploads/2022/10/kel-8917-0.jpg,
14,,https://cdn.tgdd.vn/Files/2017/03/18/962092/an-lien-3-bat-pho-voi-cong-thuc-nau-pho-nay-202201261419401397.jpg,
15,,https://bizweb.dktcdn.net/100/442/328/products/pho-bo-dac-biet.jpg?v=1644836498627,
16,,https://i.ytimg.com/vi/0Z__e-gagx4/maxresdefault.jpg,
17,,https://i0.wp.com/ghienan.com.vn/wp-content/uploads/2022/09/quan-pho-Ha-Noi-1.jpeg,
18,,https://monngonmoingay.com/wp-content/uploads/2015/11/PhoBo-e1446825512455.jpg,
19,,https://i-giadinh.vnecdn.net/2021/09/11/Phoga1-1631342846-8318-1631342910.jpg,
20,,https://thanhnien.mediacdn.vn/Uploaded/maiha/2022_10_25/pho-vn-5285-4357.jpg,
