No.,Image,Url,Description
1,,https://tse2.mm.bing.net/th?id=OIP.Ycq7mL_Ndcmt8hva0QML4QHaLH,
2,,https://i.pinimg.com/564x/ed/1c/d2/ed1cd21a6c6a352f22d3b98194bfe7bc.jpg,Best Shrimp Salad
3,,https://i.pinimg.com/474x/be/46/ed/be46ed0971fb202ece03fe04806644a5.jpg,"Simple Italian Salad

https://themodernproper.com/simple-italian-salad?back=https://www.google.com/search?client=safari&as_qdr=all&as_occt=any&safe=active&as_q=give%20me%20an%20Italian%20salad%20recipe&channel=aplab&source=a-app1&hl=en"
4,,https://tse3.mm.bing.net/th?id=OIP.5mH3m6atVE5M3xFEbDtQFwHaHa,
5,,https://i.pinimg.com/474x/ba/ca/d7/bacad722abf37dbad3c43a4017f42641.jpg,"Keto Chicken Cobb Salad with Blue Cheese Dressing

https://www.ieatketo.com/keto-chicken-cobb-salad-with-blue-cheese-dressing/"
6,,https://i.pinimg.com/474x/15/de/2c/15de2cac5615a54813f8e0a8530c6876.jpg,"Hawaiian Chicken Salad: Gluten-Free & Whole Health Flexi-Plan

https://www.silverforkgf.com/recipe/hawaiian-chicken-salad-gluten-free-whole-health-flexi-plan/"
7,,https://tse2.mm.bing.net/th?id=OIP.1XVCrv91SKTwnjyen28KfgHaHa,
8,,https://i.pinimg.com/564x/67/fa/e0/67fae0a78d8e0318256374bcd6464b54.jpg,shadanjagersma
9,,https://i.pinimg.com/564x/e1/ed/d5/e1edd5aca2800ae3d535644584cada14.jpg,"Chicken Avocado Caprese Salad - Hannah Magee RD

https://hannahmageerd.com/chicken-avocado-caprese-salad/#wprm-recipe-container-5981"
10,,https://tse1.mm.bing.net/th?id=OIP.nahVHsiH5K81_UYirr0HmAAAAA,
11,,https://tse2.mm.bing.net/th?id=OIP.7XmnRIHOnuuZ5vCsDrreOAHaLH,
12,,https://tse2.mm.bing.net/th?id=OIP.19xkg26qCNVPwEYWmbuuLwHaGu,
13,,https://tse1.mm.bing.net/th?id=OIP.OijoXAEGwp8W5a5TlvMJAAHaFI,
14,,https://tse3.mm.bing.net/th?id=OIP.0RDF968LjVfPNQKQDlDUHwHaGt,
15,,https://i.pinimg.com/564x/98/13/1f/98131f6057c91f62833c2c79f55e2839.jpg,
16,,https://tse4.mm.bing.net/th?id=OIP.mrayRudcqcpLfj5u58blDQHaJQ,
17,,https://tse2.mm.bing.net/th?id=OIP.Ybn5i1_Z1-4sgtiAVYGfpgHaLH,
18,,https://tse1.mm.bing.net/th?id=OIP.acaxVIOFHrQtoP640DKxCQHaHa,
19,,https://tse2.mm.bing.net/th?id=OIP.kKuF2kmKgo9Cndo0CG8y3QHaLH,
20,,https://tse2.mm.bing.net/th?id=OIP.hXAc97Typ1f6zA99HaiMOwHaLH,
21,,https://tse1.mm.bing.net/th?id=OIP.asFVgG-WmY4KYrALwUvt0wHaHa,
22,,https://tse4.mm.bing.net/th?id=OIP.qUyA20eTX2vAEU1lTRlS0wHaHa,
23,,https://tse3.mm.bing.net/th?id=OIP.ZMrySasmaLDLWltrJtpyLAHaJc,
24,,https://tse1.mm.bing.net/th?id=OIP.9p8mXUJIDES5LKhukKIBjgHaK-,
25,,https://tse4.mm.bing.net/th?id=OIP.QGJBg4kg401qaotS7_uJRAHaLH,
26,,https://tse2.mm.bing.net/th?id=OIP.StekA6OR7ZaLchBQsEeimAHaJk,
27,,https://tse2.mm.bing.net/th?id=OIP.QNK82xyPlTJut4os9ZzKVAAAAA,
28,,https://tse1.mm.bing.net/th?id=OIP.cv77OCQp6I8XqpGnyi4j2wHaKn,
29,,https://tse4.mm.bing.net/th?id=OIP.JHai2pqL26wL0pTZ-4gKqgHaHa,
30,,https://tse2.mm.bing.net/th?id=OIP.axwD5mXicWar3pt4cvWI_QHaLH,
31,,https://tse3.mm.bing.net/th?id=OIP.kYsf2bcppeY2ijYYfvfG0gHaEo,
32,,https://i.pinimg.com/474x/6c/2a/63/6c2a6360b8fe8eef842f16f881a2706d.jpg,
33,,https://tse1.mm.bing.net/th?id=OIP.1WfXrCcV2PrCnKNAMCH8qwHaFj,
34,,https://tse3.mm.bing.net/th?id=OIP.rSYZ5KtCUTTQV7HD4kd3dgHaEK,
35,,https://tse3.mm.bing.net/th?id=OIP.V6oSxLUELFFt1f_fwThgBQHaLH,
36,,https://tse1.mm.bing.net/th?id=OIP.vpr9QcvUK7d2VxFKj3UnHgHaE8,
37,,https://tse1.mm.bing.net/th?id=OIP.W6B3ftLuyes7OWFJszL7EAHaLH,
38,,https://tse1.mm.bing.net/th?id=OIP.i754-IgzUfnoQvp84v3_gAHaJ4,
39,,https://tse3.mm.bing.net/th?id=OIP.Lw4ZuwvrmnA12XdnYiVgowHaLH,
40,,https://tse4.mm.bing.net/th?id=OIP.myMubrb09KSF_mPnAvv_MwHaE8,
41,,https://tse3.mm.bing.net/th?id=OIP.1OHOFqy8mqBBfqYnN_SRLgHaLI,
42,,https://tse1.mm.bing.net/th?id=OIP.3gaKjoyT2is34m7Ut1_KdQHaJm,
43,,https://tse3.mm.bing.net/th?id=OIP.9IMpwBXkKVtNyyh8PuuV1gHaJ3,
44,,https://tse2.mm.bing.net/th?id=OIP.nn5cvnC-DSry0bS3r81u-gHaLH,
45,,https://tse3.mm.bing.net/th?id=OIP.oOXNzJCxUdjBMalYpseDaQHaLD,
46,,https://tse2.mm.bing.net/th?id=OIP.QWnxa2L8pJiBrjCqR6z0bQHaJQ,
47,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRnbZEGD5_z5u1R_Oji_DDm7HtqNWGGShUxA&s,Simple Green Salad and Vinaigrette dressing
48,,https://tse2.mm.bing.net/th?id=OIP.Nakd_f6HfdMLzgQOI7xFegHaLK,
49,,https://tse1.mm.bing.net/th?id=OIP.-WkVWq_BJRMo-RO0gNQctgHaHa,
50,,https://tse1.mm.bing.net/th?id=OIP.XXRsU8laicSwgbpZ2SwWjQHaHa,
51,,https://tse2.mm.bing.net/th?id=OIP.HNRr-TFP-UbQ3CL-QlRJKgHaLH,
52,,https://tse3.mm.bing.net/th?id=OIP.G0atS6TwdIEWUmMzuSsZ8gHaE8,
53,,https://tse1.mm.bing.net/th?id=OIP.9eKfNsGEho19Rz4l3PWwnAHaLH,
54,,https://tse4.mm.bing.net/th?id=OIP.0l37jiLxGln7MkTfmqVKsQHaFj,
55,,https://tse3.mm.bing.net/th?id=OIP.ELeuNkFglyaFDonJfHiiRwHaLH,
56,,https://tse3.mm.bing.net/th?id=OIP.Pb2AFQ0psVlePNw8z1xarAHaHa,
57,,https://www.lorca.vn/wp-content/uploads/2023/05/Mon-an-voi-rong-nho.jpg,salad rong nho
58,,https://tse1.mm.bing.net/th?id=OIP.yTJvM1S0gBtJSepJMJrWxwAAAA,
59,,https://tse2.mm.bing.net/th?id=OIP.r2-2KYQQQhIaUav28baJUAHaGN,
60,,https://tse2.mm.bing.net/th?id=OIP._OQ3zB5pCRqzk_Tl_rwopQHaE8,
61,,https://peasandcrayons.com/wp-content/uploads/2017/02/healthy-tomato-avocado-cucumber-salad-recipe-peasandcrayons-4716.jpg,
62,,https://i.pinimg.com/236x/25/7a/72/257a72e1b9e3e493c84c139022fb68b5.jpg,
63,,https://www.wikihow.com/images/e/e0/Make-a-Healthy-Salad-that-Tastes-Good-Intro.jpg,
64,,https://cdn.loveandlemons.com/wp-content/uploads/2021/04/green-salad.jpg,
65,,https://cdn.loveandlemons.com/wp-content/uploads/2019/07/salad.jpg,
66,,https://i.pinimg.com/236x/7d/e2/c3/7de2c3d4337af8fcb2dde497a4812b0d.jpg,
67,,https://weekendatthecottage.com/wp-content/uploads/2022/09/EverydaySalad5-scaled.jpeg,
68,,https://thishealthytable.com/wp-content/uploads/2017/06/ThisMediterraneansummersaladisfullofbrightsummerflavors-scaled.jpeg,
69,,https://honestlyyum.com/wp-content/uploads/2016/06/kale.watermelon.salad_.2.1.jpg,
