No.,Image,Url,Description
1,,https://i.pinimg.com/474x/42/9e/bc/429ebc0c25b0da48178708315f2da1af.jpg,"Nguyên liệu
Hải sản
• 6 Prawns, medium
Nguyên liệu
• 1 Coriander or spring onions
• 2 Sweet corn - remove, fresh kernels
Ướp lạnh
• 3 Eggs
Hàng đóng hộp
• 2 cups Chicken stock, low sodium
Bột nướng & gia vị
• 1 Pinch Black pepper
• 2 tbsp Corn starch - combine with
• 1 Pinch Salt
Dầu và giấm
• 1/2 tbsp Cooking oil
Chất lỏng
• 1 cup Water"
2,,https://1.bp.blogspot.com/-lyg4CMXr5rg/WNnUjkilkgI/AAAAAAAABZU/BBnZKy5adjEP0d1r8eGUr7w2wmSwGj84QCEw/s1600/soupkhoailangmacca.jpg,
3,,http://leelalicious.com/wp-content/uploads/2016/03/Khao-Soi-Thai-Egg-Noodle-Curry-5.jpg,
4,,https://i.pinimg.com/originals/f7/6a/f8/f76af82157831690273ae875ca41f478.jpg,
5,,https://media.chefdehome.com/750/0/0/thai-curry/khao-soi.jpg,
6,,https://img-global.cpcdn.com/recipes/6c378531c7e643eb/680x482cq70/soup-khoai-lang-kiểu-au-recipe-main-photo.jpg,
7,,https://img-global.cpcdn.com/recipes/c9d992229ba2f076/680x482cq70/soup-khoai-lang-quinoa-ke-nếp-tep-rieu-recipe-main-photo.jpg,
8,,https://img-global.cpcdn.com/recipes/0b238016a949de62/1200x630cq70/photo.jpg,
9,,https://i.pinimg.com/736x/19/10/d3/1910d3987c38a694988d9ede44957522.jpg,
10,,https://kiwixanh.com/wp-content/uploads/2022/03/soup-khoai-lang.jpg,
11,,https://i.pinimg.com/474x/fc/3d/d8/fc3dd8e101ee74115f0377a58e88ff6b.jpg,
12,,https://conangi.com/wp-content/uploads/2019/05/Yen-mach-khoai-lang.jpg,
13,,https://www.naumonchay.com/wp-content/uploads/2018/12/soup-khoai-lang-yen-mach-bot-san-1.jpg,
14,,https://afamilycdn.com/150157425591193600/2021/1/18/base64-16109585421671896592621.png,
15,,https://img-global.cpcdn.com/recipes/4f7455308d94f125/1200x630cq70/photo.jpg,
16,,https://conangi.com/wp-content/uploads/2019/04/5-3.jpg,
17,,https://afamilycdn.com/thumb_w/600/150157425591193600/2021/1/18/recipe50853-cook-step6-637120345378950210-16109572782811198778698-36-24-359-640-crop-161095729704524655598.jpg,
18,,https://tse2.mm.bing.net/th?id=OIP.M8PbNsktVX7Pb6XBxBsKPAHaHa,
19,,https://tse3.mm.bing.net/th?id=OIP.p3hnfr0o1V4sIywBtr0i9QHaLG,
20,,https://tse2.mm.bing.net/th?id=OIP.KZIlBAfS5fwtTFXyt_C8twHaJb,
21,,https://tse1.mm.bing.net/th?id=OIP.pNmebRMXAHkwzRW8rsONagHaLH,
22,,https://tse1.mm.bing.net/th?id=OIP.4By6NFQHcVf0xte6tfpYXwHaJ3,
23,,https://tse4.mm.bing.net/th?id=OIP.RSPbG0Jg9VkzXcyHo_0jiQHaHa,
24,,https://tse4.mm.bing.net/th?id=OIP.4r8jJ4cmjH8dfLP0yuHQ8wHaLH,
25,,https://tse1.mm.bing.net/th?id=OIP.P15JUvhTYkJN8Yn4YBOPcAHaLG,
26,,https://tse4.mm.bing.net/th?id=OIP.3ONWv0GKnWVqBNtG6OUMuwHaLI,
27,,https://tse2.mm.bing.net/th?id=OIP.YXZMWbMZafmhXrBvHVJw_AHaJQ,
28,,http://cdn.tgdd.vn/Files/2021/08/05/1373270/cach-nau-sup-ga-ngo-non-thom-ngon-bo-duong-202201141412125884.jpg,
29,,https://i.ytimg.com/vi/BXi3-3kwP7Q/hqdefault.jpg,
30,,https://ngonaz.com/wp-content/uploads/2021/09/cach-nau-sup-ga-3-e1632648193936.jpg,
31,,https://nghebep.com/wp-content/uploads/2017/11/sup-ga-ngo-non.jpg,
32,,https://bepmina.vn/wp-content/uploads/2022/09/sup-ga.jpeg,
33,,https://cdn.tgdd.vn/2021/10/CookRecipe/GalleryStep/thanh-pham-1640.jpg,
34,,https://bepmina.vn/wp-content/uploads/2022/09/cach-nau-sup-ga-ngo-nam.jpeg,
35,,https://img-global.cpcdn.com/recipes/21e058763a307f87/680x482cq70/sup-ga-ngo-ngọt-recipe-main-photo.jpg,
36,,https://thucthan.com/media/2018/06/sup-ga/cach-nau-sup-ga.jpg,
37,,https://bepxua.vn/wp-content/uploads/2020/07/cach-nau-sup-ga-nam-ngon-7.jpg,
38,,https://img-global.cpcdn.com/recipes/d481fc0e42f521a1/680x482cq70/soup-ga-ngo-nấm-recipe-main-photo.jpg,
39,,https://i.ytimg.com/vi/GhksZBPz9EE/maxresdefault.jpg,
40,,https://images.squarespace-cdn.com/content/v1/52d3fafee4b03c7eaedee15f/84eca1a6-ed94-4461-a551-001838edc819/1x1+crispy+pork5.jpg,
41,,https://namviethathanh.com/wp-content/uploads/2019/12/Soup-nấm-gà-50k.jpg,
42,,https://i.pinimg.com/474x/53/be/36/53be3639f6868ebc29005af1f6afc3b7.jpg,
43,,https://i.ytimg.com/vi/hTIQlSsEMUY/maxresdefault.jpg,
44,,https://yt.cdnxbvn.com/medias/uploads/177/177404-sup-ga-nam-huong-thom-ngon.jpg,
45,,https://i.ytimg.com/vi/3Mkqe0uSz1M/maxresdefault.jpg,
46,,https://trivietphat.net/wp-content/uploads/2021/07/sup-ga-nam-huong-1.jpg,
47,,https://photos.travelblog.net/56633/259860/f/3501561-s-p-g-ng-non-chicken-soup-0.jpg,
48,,https://i.pinimg.com/474x/3f/e4/43/3fe443274442c5f329684c15db711f98.jpg,
49,,https://cachnau.vn/wp-content/uploads/2021/11/cach-nau-sup-ga-ngo-nam-ngon.jpg,
