No.,Image,Url,Description
1,,https://tse4.mm.bing.net/th?id=OIP.ytAa6ZkA6VgcC9CCXn9c1gHaK4,
2,,https://tse3.mm.bing.net/th?id=OIP.muUmrHpxI9ic01h_XngRdQHaHa,
3,,https://i.pinimg.com/474x/a4/39/cc/a439ccfaa0a2222b599fd1fefba1575b.jpg,
4,,https://tse4.mm.bing.net/th?id=OIP.pTQZV9VDNPUwOp6XtrPrJwHaEK,
5,,https://tse2.mm.bing.net/th?id=OIP.a8hYXXgyRgTwUMIoHgpPCAHaJa,
6,,https://tse4.mm.bing.net/th?id=OIP.LG2YlbXfqEf0IcyZO4CT-AHaLG,
7,,https://tse4.mm.bing.net/th?id=OIP.nK2QP0tWwJ1N4WPRXUmtfAAAAA,
8,,https://tse1.mm.bing.net/th?id=OIP.dMDJScXXF4vbNsq_w0VAXQHaEK,
9,,https://tse2.mm.bing.net/th?id=OIP.UL2ZMfQA1HqY550yyumj_AAAAA,
10,,https://tse3.mm.bing.net/th?id=OIP._FH51xKy9_Ph5Ov0kvvu_QHaE7,
11,,https://tse4.mm.bing.net/th?id=OIP.R2dP4K2OCZ26GphjM2U5EwHaHa,
12,,https://tse4.mm.bing.net/th?id=OIP.D4D18PKFXvApmPhNC5niAgHaHa,
13,,https://tse1.mm.bing.net/th?id=OIP.FD6LMIjzSvyrQtb4gC6UmgHaHa,
14,,https://tse1.mm.bing.net/th?id=OIP.g9-1vfslSCzpnh3RVuZWywHaHa,
15,,https://tse4.mm.bing.net/th?id=OIP.KzWNyD872MqMAUJk36BQigHaJ4,
16,,https://tse4.mm.bing.net/th?id=OIP.h1fIpaJiXFkXmRnH3CnnIgHaEK,
17,,https://tse2.mm.bing.net/th?id=OIP.V8kwcFqqhJBHO090VeWk_gHaFj,
18,,https://tse1.mm.bing.net/th?id=OIP.UNfHMwe9BN2TvVDg8AGiZgHaHa,
19,,https://tse3.mm.bing.net/th?id=OIP.058bxL0QNSr1AtPKY0pGVAHaEK,
20,,https://tse2.mm.bing.net/th?id=OIP.cly5uhZGtlajeoVzfAkEvwHaE7,
21,,https://tse3.mm.bing.net/th?id=OIP.5ymSmjl0txNj4Bg32_vCXAHaHa,
22,,https://tse1.mm.bing.net/th?id=OIP.c-6nF3_lCbGULDufpXhCLgHaE8,
23,,https://tse3.mm.bing.net/th?id=OIP.tYVR2b8rwvGF4EF9L7DlIAHaET,
24,,https://tse3.mm.bing.net/th?id=OIP.dToq21hdZbQkAZpHHZlXIQHaHa,
25,,https://tse3.mm.bing.net/th?id=OIP.spUwkKycQVp2USbQMB1UDwHaE7,
26,,https://tse1.mm.bing.net/th?id=OIP.XRONAHkwjDLjc3O7JKFW2wHaFj,
27,,https://tse1.mm.bing.net/th?id=OIP.7Q_8HfNuGfNBEYQez7f9aAHaJ4,
28,,https://tse1.mm.bing.net/th?id=OIP.6P59l1w_DFZ227UqRoD8fQHaHa,
29,,https://tse2.mm.bing.net/th?id=OIP.ELxJO44-tgfCQBl08Z1nrgHaFP,
30,,https://tse3.mm.bing.net/th?id=OIP.i_FAxc63Rci8ygzHC-a6AAHaHa,
31,,https://i.pinimg.com/474x/c6/86/1c/c6861cb0318d380d6eddfdb3eaa00bdf.jpg,
32,,https://i.pinimg.com/474x/64/21/70/642170f572187a7db89335d7086ef038.jpg,
33,,https://tse4.mm.bing.net/th?id=OIP.QCenhZvX_TbBBzI6hAtRlgHaHa,
34,,https://i.pinimg.com/474x/67/47/10/674710286463c2d283c374d0242c469d.jpg,
35,,https://tse1.mm.bing.net/th?id=OIP.E_xStMWnmNtRdnhTZqVNSwHaEC,
36,,https://tse3.mm.bing.net/th?id=OIP.rfFveSdRgwnLuFn34aPdEgHaFj,
37,,https://tse4.mm.bing.net/th?id=OIP.0LRTaSITLEfkQSN33AvKXwHaJ4,
38,,https://tse4.mm.bing.net/th?id=OIP.4TbMAWEu9mKqwAgBEy8-AAHaHa,
39,,https://i.pinimg.com/474x/77/7f/ad/777fad172b984767b6cc32fb9fd1a23e.jpg,
40,,https://i.pinimg.com/474x/2c/c8/11/2cc811260628cdbd67e14ab6b4e9fd81.jpg,
41,,https://tse2.mm.bing.net/th?id=OIP.idKycxJBJiwhqyecYvnUTwHaE8,
42,,https://tse4.mm.bing.net/th?id=OIP.lSwFNOw8FXm4BTjWeardggHaEK,
43,,https://i.pinimg.com/474x/c9/6e/6e/c96e6eb0fb96e67adf6168e97d5b091e.jpg,
44,,https://i.pinimg.com/474x/28/02/59/28025951c8328e28266d7d8cbc76793e.jpg,
45,,https://tse2.mm.bing.net/th?id=OIP.0_J6Ojh5DdIqL-whOzOKkQHaEo,
46,,https://i.pinimg.com/474x/fc/26/88/fc26889f7da0eb2f208d15f30bc4fff0.jpg,
47,,https://tse2.mm.bing.net/th?id=OIP.I-hq6K6i7viWSHordc547AHaEK,
48,,https://tse3.mm.bing.net/th?id=OIP.dOWiie-UTo0qQN5WWCbNSAHaHa,
49,,https://tse4.mm.bing.net/th?id=OIP.p_k071vIF_qeer5atk4DLwHaE8,
50,,https://i.pinimg.com/474x/40/c5/60/40c5601827ee14bbc2b8e2eb81a93d30.jpg,
51,,https://i.pinimg.com/474x/a4/a0/c0/a4a0c02b8ce37c105e398aa82c036a9a.jpg,
52,,https://i.pinimg.com/474x/0e/fb/08/0efb08077146b8713ae63434dd3531e6.jpg,
53,,https://i.pinimg.com/474x/20/ee/31/20ee31bf11f13829cd521024bc2ad941.jpg,
54,,https://i.pinimg.com/474x/53/fd/98/53fd98fcf721a2acb74fe27d10f15c3f.jpg,
55,,https://i.pinimg.com/474x/23/7c/92/237c92f6460152fe7cffef6065067db0.jpg,
56,,https://tse4.mm.bing.net/th?id=OIP.i6-qV678lkCjidz-Zsf5aAHaEo,
57,,https://i.pinimg.com/474x/7d/8a/75/7d8a75989813f535e6a55d9919557d3a.jpg,
58,,https://i.pinimg.com/474x/74/1d/32/741d32fc81a2c61cd74556a078a41c4a.jpg,
59,,https://i.pinimg.com/474x/0c/46/f9/0c46f92cd71bf3cbb45f7da0e58c29e0.jpg,
60,,https://i.pinimg.com/474x/15/ac/6e/15ac6e91798445d4cef3828b7f09943b.jpg,
61,,https://cdn-www.vinid.net/2020/05/28d4787c-20200505_appvinid_bannerweb_tocotoco.jpg,
62,,https://i.pinimg.com/474x/b3/fb/3c/b3fb3c5d95c53b1ee4f61289d9708349.jpg,
63,,https://i.pinimg.com/474x/d0/66/9e/d0669e6f80a1e46f680208e8aa687b20.jpg,
64,,https://i.pinimg.com/474x/e1/06/11/e106112dcf66146574f05eb273b1a12b.jpg,
65,,https://i.pinimg.com/474x/b8/3e/0c/b83e0cfcdfd08bda740105a6a7f59542.jpg,
66,,https://i.pinimg.com/564x/4f/6f/dd/4f6fdd50d0e00e9dd576c201ae5b019b.jpg,
67,,https://i.pinimg.com/474x/29/8a/60/298a60bc5c0a0aa92559b7111adab1f2.jpg,
68,,https://i.pinimg.com/474x/8d/75/8d/8d758dc2fc199a559ab8565a8f168ecb.jpg,
69,,https://i.pinimg.com/474x/5e/62/18/5e621899f6db017285bed2929fda932f.jpg,
70,,https://i.pinimg.com/474x/f0/76/dd/f076dd629067f66ed73359751c649e30.jpg,
71,,https://i.pinimg.com/474x/66/f6/34/66f634b3ffc06c149e8d95e06a866032.jpg,
72,,https://i.pinimg.com/736x/ed/20/41/ed2041917df850d2e0e86f8cb1fc0430.jpg,
73,,https://i.pinimg.com/474x/28/75/42/287542a0a4879b347413d736bef81d35.jpg,
74,,https://toplist.vn/images/800px/quan-tra-sua-ngon-va-chat-luong-nhat-quan-ha-dong-ha-noi-chu-de-da-co-nguoi-nhan-kieu-nguyen-344947.jpg,
75,,https://i.pinimg.com/474x/e1/42/ba/e142ba90ff8f0212802de158d6718073.jpg,
76,,https://i.pinimg.com/474x/90/e8/16/90e8164a4a41c9c70e79b852fa52e633.jpg,
77,,https://i.pinimg.com/474x/c3/9a/af/c39aafa4c51306d7a8e03a103a028b1e.jpg,
78,,https://i.pinimg.com/474x/1f/d8/c7/1fd8c760aa3e547a5d2d04febc874637.jpg,
79,,https://toplist.vn/images/800px/tocotoco-20-pho-nhon-1034976.jpg,
80,,https://i.pinimg.com/474x/cf/30/01/cf3001f1580e654e028cfc1a51d21922.jpg,
81,,https://i.pinimg.com/474x/c7/bf/fc/c7bffcd82d0c5768b924c637f7c9ffd7.jpg,
82,,https://i.pinimg.com/474x/5e/ca/af/5ecaaf9d129b33f80a27e671b42993b1.jpg,
83,,https://i.pinimg.com/474x/9a/a0/ee/9aa0ee3b4ce9c9e6e73b74472759a6a6.jpg,
84,,https://i.pinimg.com/474x/35/07/1e/35071ee972702505a52649d12d10064e.jpg,
85,,https://grimaceworks.com/tra-sua-tocotoco-gan-day/imager_4_25979_700.jpg,
86,,https://i.pinimg.com/474x/a0/75/77/a07577a875242fe458f17c062c28d81b.jpg,
87,,https://i.pinimg.com/474x/b3/73/18/b373186fc8cf588d47b8eb7793d9452d.jpg,
88,,https://i.pinimg.com/originals/10/57/29/105729cf8a60b75a0771d176309d5880.jpg,
89,,https://i.pinimg.com/474x/d6/64/6f/d6646f4d67dec1be47a66a1c43d1e64c.jpg,
90,,https://gongcha.com.vn/wp-content/uploads/2018/02/Trà-sữa-Trân-châu-đen-1.png,
91,,https://i.pinimg.com/474x/4b/74/0a/4b740a1a844b48ac29703e722ea9b263.jpg,
92,,https://i.pinimg.com/474x/bf/1f/1f/bf1f1f1556efeffce33ff4a15653f620.jpg,
93,,https://i.pinimg.com/474x/2b/35/53/2b3553defd61fabf749f2c3268af79ce.jpg,
94,,https://i.pinimg.com/474x/c9/5d/33/c95d339c6e4fef347b1828b045c6f6fd.jpg,
95,,https://i.pinimg.com/474x/aa/41/c2/aa41c2bf26052fb8f244f915d665128a.jpg,
96,,https://i.pinimg.com/474x/ed/59/80/ed59800d0221c929c1d7436094e57faf.jpg,
97,,https://i.pinimg.com/474x/e2/56/8c/e2568ca9fec19f589a59f5ecece2a917.jpg,
98,,https://i.pinimg.com/474x/f9/b7/5b/f9b75bc4f4d2bfa68651e2e70d04a944.jpg,
99,,https://tastylicious.com/wp-content/uploads/2022/05/black-milk-tea.jpg,
100,,https://i.pinimg.com/originals/a3/2a/40/a32a409a8507dedae285851e8a3af0e1.jpg,
101,,https://i.pinimg.com/474x/95/62/2d/95622d5d6fe5c159bf3008e08e3f50c7.jpg,
102,,https://i.pinimg.com/474x/54/eb/d9/54ebd9e1073bc59fccac7c9418eba3e2.jpg,
103,,https://i.pinimg.com/474x/84/8f/39/848f39c34ffbdd707011066b603edcc5.jpg,
104,,https://toplist.vn/images/800px/tra-sua-dingtea-417758.jpg,
105,,https://toplist.vn/images/800px/tra-sua-dingtea-968131.jpg,
106,,https://i.pinimg.com/474x/02/ef/7e/02ef7e3620489770f7a7d6623f7c6003.jpg,
107,,https://static.riviu.co/image/2021/03/27/57748f9dd4afbb53fcbae7c93ee5505a_output.jpeg,
108,,https://i.pinimg.com/474x/4d/0a/ce/4d0ace1dc841e4613028ca693e46b918.jpg,
109,,https://foodi.com.vn/wp-content/uploads/2019/06/tra-sua-ding-tea-1.jpg,
110,,https://toplist.vn/images/800px/dingtea-377411.jpg,
111,,https://i.pinimg.com/474x/08/22/fa/0822fa62e509b079833f572dd0a987da.jpg,
112,,https://i.pinimg.com/474x/08/08/ef/0808efb73cede257a542fc50df90a2ef.jpg,
113,,https://i.pinimg.com/474x/b2/74/f3/b274f39d7db225c2670c28fab692d7cc.jpg,
114,,https://static.riviu.co/image/2021/06/10/98a6940d3148a20e692cb80f0772520d_output.jpeg,
115,,https://toplist.vn/images/800px/ding-tea-328299.jpg,
116,,https://hanhtrinhdulich.vn/wp-content/uploads/2021/09/quan-tra-sua-DingTea.jpg,
117,,https://halotravel.vn/wp-content/uploads/2021/07/Dingtea.jpg,
118,,https://hanhtrinhdulich.vn/wp-content/uploads/2021/09/tra-sua-Ding-Tea-1-e1632664490592.jpg,
119,,https://i.pinimg.com/474x/ef/c9/7c/efc97c48ca1eca6fb338da5c51109bad.jpg,
120,,https://i.pinimg.com/474x/f9/a1/51/f9a1512262c5e53420cda35e5948120d.jpg,
121,,https://toplist.vn/images/800px/tra-sua-dingtea-182979.jpg,
122,,https://nguyenlieuphachemientay.com/wp-content/uploads/2020/09/ding-tea.jpg,
123,,https://i.pinimg.com/474x/b1/2a/58/b12a58dc37c99b8055e1a4c32d323731.jpg,
124,,https://i.pinimg.com/474x/37/f6/d0/37f6d0d64e4257c97baa7f53de6ff2cb.jpg,
125,,https://i.pinimg.com/474x/15/5f/32/155f32222e933c069972222817e2a6ba.jpg,
126,,https://i.pinimg.com/474x/ab/7a/9b/ab7a9bc8ec43bcafd5cc2777702262eb.jpg,
127,,https://i.pinimg.com/474x/04/ac/b2/04acb212d589ad74a1228bc36d7de140.jpg,
128,,https://danhgiasao.com/wp-content/uploads/2023/05/review-do-uong-dingtea-tra-sua-danhgiasao.jpg,
129,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKvRFUr9tcFFhWuEn6s6IfgVSIoUtI8sQq0w90nwtEzpauO-qI,
130,,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTunC1rcyWmHMsC5z-mg9jpOBcufQNizdPieEcjr0j_VUCKm1VG,
131,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR-Wcno5sfy6U1Hy-Lp7qVVRTRRUzKS-kBSBsdO-cz9G_tEAyL8,
132,,https://p16-va.lemon8cdn.com/tos-alisg-v-a3e477-sg/o8CO2AzXXCSN8Aqp6NCrQ73hAWFfEeysBIgEmd~tplv-tej9nj120t-origin.webp,
133,,https://toplist.vn/images/800px/dingtea-446320.jpg,
134,,https://i.pinimg.com/474x/21/f1/be/21f1be480b62b62b2a7516c6a9746c0f.jpg,
135,,https://i.pinimg.com/474x/a1/67/e3/a167e354e248317a6a5361dca89c2ce2.jpg,
