No.,Image,Url,Description
1,,https://i.pinimg.com/474x/d7/54/e9/d754e9e4ba2166f13d01311b03b7f75b.jpg,
2,,https://i.pinimg.com/474x/19/0d/0a/190d0a00a444ec6b156a6abef74ab142.jpg,"The history of Peking duck goes back to China's Yuan Dynasty of the 13th century. Bianyifang, Beijing's oldest restaurant specializing in Peking duck has been in business since the Jiajing reign of the 16th century, serving as a testament to the popularity of this succulent, tantalizing dish. The duck is cooked until the skin turns golden and crispy and the meat becomes tender, slightly sweet, and moist. Both the meat and the skin are then folded in thin pancakes or steamed white buns."
3,,https://i.pinimg.com/474x/23/88/84/238884e71617bbf10949b8bf803ab9df.jpg,
4,,https://mayvatlongga123.com.vn/wp-content/uploads/2022/05/nguon-goc-vit-quay-bac-kinh.jpg,
5,,https://gauoi.vn/wp-content/uploads/2022/04/278907226_1027074277917115_2942421214505128165_n.jpg,
6,,https://i.pinimg.com/474x/6c/85/15/6c851517f19266fc5e3ce650cd509b7a.jpg,
7,,https://kimlientravel.com.vn/upload/image/vit-quay-bac-kinh-2.jpg,
8,,https://cdn.tgdd.vn/2021/05/CookProduct/2-1200x676.jpg,
9,,https://www.heoquaysg.com/wp-content/uploads/2022/06/maxresdefault.jpg,
10,,https://atuankhang.vn/wp-content/uploads/2020/06/cach-lam-mon-vit-quay-bac-kinh.jpg,
11,,https://kimlientravel.com.vn/upload/image/vit-quay-bac-kinh-6.jpg,
12,,https://i.pinimg.com/474x/25/a3/32/25a332f3c3b9f9ccb10ad176e0fc8a65.jpg,
13,,https://i.pinimg.com/474x/bb/2f/4a/bb2f4aabb8df28f50a3d108e56e3b4fc.jpg,
14,,https://trungquocsensetravel.com/view/at_trung-quoc-vit-quay-bac-kinh-dung-dieu-chuan-vi_41bd05f96457b05af4db278e8fb46d91.jpg,
15,,https://vit29.com/media/news/1707_Vtquaybckinhlmcmng.jpg,
16,,https://trungquocsensetravel.com/view-450/at_trung-quoc-vit-quay-bac-kinh-dung-dieu-chuan-vi_15a7bfcf08d4a38fad6d798e02461165.jpg,
17,,https://i.pinimg.com/474x/45/06/0b/45060b9bd8dd6528a13645a62ecb2fc0.jpg,
