No.,Image,Url,Description
1,,https://yt.cdnxbvn.com/medias/webnauan.vn/34/34725/cach-lam-xoi-ngu-sac.jpg,
2,,https://cdn.tgdd.vn/Files/2021/08/01/1372241/cach-nau-xoi-ngu-sac-truyen-thong-thom-ngon-len-mau-dep-cuc-de-lam-202208311550555314.jpg,
3,,https://tapchiamthuc.net/wp-content/uploads/2022/04/xoi-ngu-sac-mon-an-hoi-tu-tinh-hoa-tay-bac-02.jpg,
4,,https://bepmina.vn/wp-content/uploads/2023/03/xoi-ngu-sac.jpeg,
5,,https://letravel.vn/uploaded/xoingusacdacsanhagiang2.jpg,
6,,https://tapchiamthuc.net/wp-content/uploads/2022/04/xoi-ngu-sac-mon-an-hoi-tu-tinh-hoa-tay-bac-05.jpg,
7,,https://i.pinimg.com/474x/f5/be/b1/f5beb13d8be505b76ecbdc7b56a32d88.jpg,
8,,https://i.pinimg.com/236x/1b/7e/53/1b7e53eb2c4116cf4f8c0ed298dfdf02.jpg,
9,,https://i.pinimg.com/236x/fb/9c/ce/fb9cce3a7bbaae0cb5ec9267dcb40721.jpg,
10,,https://cdn.tasteatlas.com/images/dishes/5c431dff9ed84d558712664ad075934c.jpg?mw=1300,
11,,https://i.pinimg.com/236x/8a/64/4c/8a644cdbde59f14c6d3b1bb9cb8723e4.jpg,
12,,https://top10mocchau.com/wp-content/uploads/2023/07/mam-xoi-ngu-sac-1.jpg,
13,,http://nhahangmocchau.com/wp-content/uploads/2020/06/xoi-tinh-yeu-1024x839.jpg,
14,,https://bcp.cdnchinhphu.vn/334894974524682240/2023/12/29/xoi-ngu-sac-17038345960721295567211.jpg,
15,,https://cdn.abphotos.link/photos/resized/1024x/2022/12/02/1669971381_06HWxq5hTc4ZyOUd_1669981059-phpuo1iek.png,
16,,https://bizweb.dktcdn.net/100/430/394/articles/bb086a7dfeb93be762a8-rs.jpg?v=1661239140167,
17,,https://cdn-www.vinid.net/3410487a-xoi-ngu-sac.jpg,
18,,https://s1.media.ngoisao.vn/resize_580/news/2023/06/01/xoi-ngu-sac-ngoisaovn-3-ngoisaovn-w959-h939.jpg,
19,,https://sapatrip.vn/wp-content/uploads/2021/08/xoi-ngu-sac-2-1.jpg,
20,,https://media.sohuutritue.net.vn/files/huongmi/2023/01/17/xoi-ngu-sac-1522.jpg,
21,,https://esitecs.com/wp-content/uploads/2021/11/6-1-1024x768.jpg,
22,,https://cdn.tgdd.vn/Files/2021/08/01/1372241/cach-nau-xoi-ngu-sac-truyen-thong-thom-ngon-len-mau-dep-cuc-de-lam-202112281354472954.jpg,
23,,https://i.pinimg.com/474x/f6/69/40/f6694013722d47046b569f22bed1a519.jpg,
24,,https://media.mia.vn/uploads/blog-du-lich/len-tay-bac-thuong-thuc-xoi-ngu-sac-banh-san-moc-chau-dan-da-ma-doc-dao-1644838805.jpg,
25,,https://nauanngonmoingay.com/wp-content/uploads/2021/06/z2292265860506_d0f0e17fe832fd4a5846db62b752f916.jpg,
26,,https://cdn.tgdd.vn/2021/07/CookProduct/Duanmoi-1200x676.jpg,
27,,http://nhahangmocchau.com/wp-content/uploads/2020/06/Xoi-ngu-sac.jpg,
28,,https://sapatrip.vn/wp-content/uploads/2021/08/xoi-ngu-sac-3.jpg,
29,,https://file.hstatic.net/1000394081/file/xoi-mit-ngu-sac_6f69b8968bd2423d89a9eb351ca929c0.jpg,
30,,https://misolhouse.com/assets/uploads/43c921894b3f056df2bfbe05764c9f17.jpg,
31,,https://icdn.one/upload/2020/11/13/20201113020323-09697b13.jpg,
32,,https://gametthienvuong.com/wp-content/uploads/2023/07/met-ngu-sac-1024x1024.jpg,
33,,https://dammenaunuong.com/wp-content/uploads/2019/11/Xôi_ngũ_sắc.jpg,
34,,https://down-vn.img.susercontent.com/file/sg-11134201-22120-4l597sfzaskv85,
35,,https://i.pinimg.com/474x/47/5f/f5/475ff50a62084971b123d0884a69afb8.jpg,
36,,https://i.pinimg.com/474x/36/9d/6d/369d6d6cd0d56902daf9d0a38c6b8124.jpg,Xôi xoài Thái Lan là một món ăn khá đặc sắc được nhiều tín đồ ẩm thực khám phá khi du lịch xứ sở Chùa Vàng.
37,,http://cdn.tgdd.vn/Files/2021/08/26/1377985/hoc-ngay-cach-lam-xoi-xoai-thai-lan-thom-ngon-beo-ngay-chuan-vi-202201210833102263.jpeg,
38,,https://cdn.mediamart.vn/images/news/mo-lam-xoi-xoai-thai-lan-thom-beo-hp-dn-chun-huong-v_2107a3bc.jpg,
39,,https://xebanhmithonhiky.vn/wp-content/uploads/2022/06/mon-dac-san-thai-lan.jpg,
40,,https://images.squarespace-cdn.com/content/v1/5cb9ef147eb88c5caefa30b3/1598517044391-MOF4YYVIQMDV0BA8VDVD/_R3N9138.JPG,
41,,https://i.ex-cdn.com/vntravellive.com/files/news/2022/04/21/xoi-xoai-thai-lan-duoc-de-cu-vao-danh-sach-di-san-van-hoa-phi-vat-the-112513.jpg,
42,,https://media.mia.vn/uploads/blog-du-lich/xoi-xoai-thai-lan-2-1682289534.jpg,
43,,https://focusasiatravel.vn/wp-content/uploads/2019/12/xoi-xoai-thai-lan-e1575864322854.jpg,
44,,https://navicdn.com/nakk/images/articles/2020/04/21/thumb-cach-lam-xoi-xoai-thai-lan.jpg,
45,,https://nghebep.com/wp-content/uploads/2019/01/xoi-xoai.jpg,
46,,https://cdn.tgdd.vn/2020/08/CookProduct/62-1200x676.jpg,
47,,https://pystravel.vn/uploads/posts/albums/3858/c140ddd86421b1996ff9307c77f0373b.jpg,
48,,https://i.ytimg.com/vi/dD9zwO-5AkI/maxresdefault.jpg,
49,,https://img-global.cpcdn.com/recipes/681d60069addf4c4/680x482cq70/xoi-xoai-thai-lan-recipe-main-photo.jpg,
50,,https://noiphodien123.vn/wp-content/uploads/2020/10/xoi-xoai-thai-ngon-la-mieng.jpg,
51,,https://image.cooky.vn/recipe/g4/31004/s/cooky-recipe-cover-r31004.jpg,
52,,https://statics.vinpearl.com/xoi-xoai-014_1632035871.jpg,
53,,https://pystravel.vn/uploads/posts/albums/3858/d4fee5729ec20d63eaae070a76a868cb.jpg,
54,,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lkezrklfxvoc14,
55,,https://daynauan.info.vn/wp-content/uploads/2018/05/xoi-xoai-thai-lan.jpg,
56,,https://mia.vn/media/uploads/blog-du-lich/xoi-xoai-thai-lan-mon-an-pha-cach-day-an-tuong-1682398371.jpg,
57,,https://i.pinimg.com/474x/9e/d3/b9/9ed3b9c85aafbf77c4df0ea826a00499.jpg,
58,,https://cuvare.com/wp-content/uploads/2023/01/dia-diem-ban-xoi-xoai-chuan-vi-Thai-Lan-o-Sai-Gon.jpg,
59,,https://www.huongnghiepaau.com/wp-content/uploads/2019/01/xoi-xoai-thai-lan.jpg,
60,,https://www.hcmtoplist.com/wp-content/uploads/2022/12/ngat-ngay-voi-top-10-quan-xoi-xoai-thai-lan-o-sai-gon.jpg,
61,,https://i.pinimg.com/736x/9b/dd/c3/9bddc3b0da6375860c1c852b4c5539f8.jpg,
62,,https://www.cet.edu.vn/wp-content/uploads/2018/05/xoi-xoai-thai-lan.jpg,
63,,https://i.pinimg.com/originals/a2/f1/49/a2f1494ba4eb2c029290d2b3b4dd204a.jpg,
64,,https://www.vietnamonline.com/media/uploads/froala_editor/images/VNO_xoixeo1_umK3Xtf.jpg,
65,,https://cdn.tgdd.vn/Files/2022/11/17/1487645/cach-nau-xoi-xeo-ngo-thom-ngon-deo-dep-mat-cho-bua-sang-202211171330393361.jpg,
66,,https://www.cet.edu.vn/wp-content/uploads/2018/03/xoi-ga-xe-nam-huong.jpg,Xôi Yến
67,,https://media-cdn-v2.laodong.vn/Storage/NewsPortal/2023/1/21/1140386/325541157_5654166654.jpg,
68,,https://i.pinimg.com/564x/87/1f/42/871f42b7a87f0388360afefd0ff259cc.jpg,
69,,https://images2.thanhnien.vn/528068263637045248/2023/6/21/5bf36081d803095d5012-1687321010947141289571.jpg,
70,,https://thucdonandam.net/wp-content/uploads/2023/03/yen-mach-an-dam-cho-be.jpg,
71,,http://runawayrice.com/wp-content/uploads/2018/06/Sticky-Rice-and-Mung-Bean-Xoi-Xeo.jpg,
72,,https://delightfulplate.com/wp-content/uploads/2019/09/Vietnamese-Sticky-Rice-with-Hand-Cut-Mung-Bean-Xoi-Xeo.jpg,
73,,https://congdankhuyenhoc.qltns.mediacdn.vn/449484899827462144/2023/1/29/ab1f73bab94b62153b5a243-16749882850931711777427.jpg,
74,,https://cdn.tgdd.vn/Files/2020/02/17/1236928/3-cach-lam-xoi-vi-deo-thom-13-760x367.png,
75,,https://static.riviu.co/960/image/2021/03/04/8a67813448ff0766beed3d7df03d6fb0_output.jpeg,
76,,https://xoichecohong.vn/wp-content/uploads/2023/03/1-8.jpg,
77,,https://statics.vinpearl.com/xoi-xeo-02_1632318965.jpg,
78,,https://i.pinimg.com/474x/43/e1/c9/43e1c9fad93a5ce200451d007b21db3b.jpg,
79,,https://cdn.tgdd.vn/2021/04/content/xoi-xeo-la-gi-xoi-xeo-bao-nhieu-calo-an-co-beo-khong-va-cac-mon-xoi-xeo-ngon-3d-800x635.jpg,
80,,https://statics.vinwonders.com/xoi-xeo-01%20(2)_1632322118.jpg,
81,,https://image.bephoa.vn/data/thumb_750/2023/06/202306071427221877.webp,"Xôi chim chiên
https://www.dienmayxanh.com/vao-bep/cach-nau-xoi-bo-cau-chien-gion-thom-phuc-ngon-mieng-gion-rum-07220"
82,,https://assets.tmecosys.com/image/upload/t_web767x639/img/recipe/ras/Assets/c79482b49bc09f52c694632e9cf9ba62/Derivates/0503a9cfee44e46d85a53bb4b0ed59d867a3cc3c.jpg,
83,,https://dulichocean.vn/wp-content/uploads/2022/11/Untitled-3-01-10-scaled.jpg,
84,,https://statics.vinpearl.com/xoi-xeo-ha-noi-2_1692290210.jpg,
85,,http://vietnam-online.org/wp-content/uploads/2020/02/d8f33a31894a7ce77d28d4ed850179eb.jpg,
86,,https://www.vietnamonline.com/media/uploads/froala_editor/images/VNO_XOI3.jpg,
87,,https://img-global.cpcdn.com/recipes/f13b904b75e6e51a/680x482cq70/xoi-xeo-ha-nội-recipe-main-photo.jpg,
88,,https://delightfulplate.com/wp-content/uploads/2019/09/Vietnamese-Mung-Bean-Sticky-Rice-Xoi-Xeo-Hanoi-1024x1024.jpg,
89,,https://luhanhvietnam.com.vn/du-lich/vnt_upload/news/09_2022/xoi-xeo-ha-noi-1_1.jpg,
90,,https://i.ytimg.com/vi/8e_qCuiQWD4/maxresdefault.jpg,
91,,https://img-global.cpcdn.com/recipes/5df37c5623d46855/680x482cq70/xoi-xeo-ha-nội-recipe-main-photo.jpg,
92,,https://vietnamnomad.com/wp-content/uploads/2022/09/Xoi-Dau-Vietnamese-sticky-rice-Vietnamnomad.jpg,
93,,https://wiki-travel.com.vn/Uploads/Picture/NguyenBinhVTV-161312111356-xoixeo.jpg,
94,,https://cdn-www.vinid.net/11ec15f2-cach-lam-xoi-ga-4.jpg,
95,,https://amthucdochay.com/wp-content/uploads/2021/08/xoi-xeo-nau-noi-com-dien-recipe-main-photo.jpg,
96,,https://media.cooky.vn/recipe/g4/32066/s640/cooky-recipe-cover-r32066.jpg,
97,,https://cdn.tgdd.vn/Files/2021/09/06/1380707/cach-lam-xoi-lap-xuong-ngon-mem-sieu-nhanh-bang-lo-vi-song-202109062233093121.jpg,
98,,https://www.vietnamonline.com/media/uploads/froala_editor/images/VNO_xoixeo1.jpg,
99,,https://statics.vinpearl.com/xoi-la-cam-1_1631893676.jpg,Xôi sắn
100,,https://statics.vinpearl.com/xoi-xeo-ha-noi-9_1692290086.jpg,
101,,https://images2.thanhnien.vn/528068263637045248/2023/3/23/54004f5ee0f83da664e9-1679583922917396618678.jpeg,
102,,https://i.ytimg.com/vi/xIJA3UNzxQA/maxresdefault.jpg,
